FBgn0031208	CR11023   	chr2L     	7529      	9484      	+         	7529      	1.35995948996221	in        	PcG1      	chr2L     	5001      	20000     
FBgn0001142	Gs1       	chr2L     	132077    	134472    	+         	132077    	-1.30904382524591	in        	Active2   	chr2L     	108000    	142000    
FBgn0051974	CG31974   	chr2L     	141077    	143091    	-         	143091    	1.02305717061653	in        	Active2   	chr2L     	108000    	142000    
FBgn0031224	CG11454   	chr2L     	143323    	144227    	+         	143323    	-0.133423308165958	1323out   	Active2   	chr2L     	108000    	142000    
FBgn0259818	CG42399   	chr2L     	144231    	153300    	-         	153300    	-0.123926511311404	11300out  	NA        	NA        	NA        	NA        
FBgn0031227	CG3709    	chr2L     	153539    	155305    	-         	155305    	-0.0871129855003134	13305out  	NA        	NA        	NA        	NA        
FBgn0031229	CG3436    	chr2L     	156029    	157666    	+         	156029    	-0.176197679698734	14029out  	NA        	NA        	NA        	NA        
FBgn0053635	CG33635   	chr2L     	157836    	158664    	-         	158664    	-0.015847904308119	16664out  	NA        	NA        	NA        	NA        
FBgn0016977	spen      	chr2L     	159032    	203397    	+         	159032    	-0.0995051226124166	17032out  	NA        	NA        	NA        	NA        
FBgn0031231	mRpL10    	chr2L     	203779    	204782    	+         	203779    	-0.0100631944512696	3221out   	Active3   	chr2L     	207000    	249000    
FBgn0031232	CG11617   	chr2L     	204743    	207297    	-         	207297    	-0.979698031398652	in        	Active3   	chr2L     	207000    	249000    
FBgn0031233	Tbc1d15-17	chr2L     	207179    	210725    	+         	207179    	-0.0601295066180094	in        	Active3   	chr2L     	207000    	249000    
FBgn0266557	kis       	chr2L     	210735    	250823    	-         	250823    	-0.260539601768539	in        	Active4   	chr2L     	249000    	300000    
FBgn0265153	lncRNA:CR44222	chr2L     	223519    	224708    	+         	223519    	-0.790005434457847	in        	Active3   	chr2L     	207000    	249000    
FBgn0265152	lncRNA:CR44221	chr2L     	228037    	228588    	+         	228037    	0.0204283594550474	in        	Active3   	chr2L     	207000    	249000    
FBgn0031235	CG13693   	chr2L     	232487    	234208    	+         	232487    	-0.21137582639656	in        	Active3   	chr2L     	207000    	249000    
FBgn0265149	lncRNA:CR44218	chr2L     	248909    	249812    	+         	248909    	0.48884621518104	in        	Active3   	chr2L     	207000    	249000    
FBgn0283652	Rpp30     	chr2L     	251039    	252373    	-         	252373    	0.0160760371143328	in        	Active4   	chr2L     	249000    	300000    
FBgn0031238	CG3645    	chr2L     	252589    	271744    	-         	271744    	0.178772184255454	in        	Active4   	chr2L     	249000    	300000    
FBgn0031239	CG17075   	chr2L     	259949    	267505    	-         	267505    	0.269266011156568	in        	Active4   	chr2L     	249000    	300000    
FBgn0031240	CG3345    	chr2L     	269088    	271626    	+         	269088    	1.24696621869564	in        	Active4   	chr2L     	249000    	300000    
FBgn0086912	mbm       	chr2L     	271912    	273715    	-         	273715    	-0.076023472035882	in        	Active4   	chr2L     	249000    	300000    
FBgn0086856	CG11555   	chr2L     	273836    	274766    	+         	273836    	-0.0979894739461503	in        	Active4   	chr2L     	249000    	300000    
FBgn0086855	CG17078   	chr2L     	274740    	278234    	-         	278234    	-0.109929634533911	in        	Active4   	chr2L     	249000    	300000    
FBgn0003444	smo       	chr2L     	277582    	282167    	+         	277582    	-0.0465964441900589	in        	Active4   	chr2L     	249000    	300000    
FBgn0031244	CG11601   	chr2L     	281670    	283269    	-         	283269    	-0.155045023010477	in        	Active4   	chr2L     	249000    	300000    
FBgn0031245	CG3625    	chr2L     	283385    	291795    	-         	291795    	-0.754132734553294	in        	Active4   	chr2L     	249000    	300000    
FBgn0267996	asRNA:CR46263	chr2L     	286383    	288292    	+         	286383    	-0.679683438746961	in        	Active4   	chr2L     	249000    	300000    
FBgn0025686	Amnionless	chr2L     	287252    	289144    	-         	289144    	3.31313278509827	in        	Active4   	chr2L     	249000    	300000    
FBgn0031247	CG11562   	chr2L     	292419    	293222    	+         	292419    	-0.0120264369306158	in        	Active4   	chr2L     	249000    	300000    
FBgn0017457	U2af38    	chr2L     	292959    	294681    	-         	294681    	-0.204383586605671	in        	Active4   	chr2L     	249000    	300000    
FBgn0024352	Stip1     	chr2L     	295122    	297449    	+         	295122    	-0.145124132600253	in        	Active4   	chr2L     	249000    	300000    
FBgn0020622	Pi3K21B   	chr2L     	297880    	305233    	+         	297880    	-0.0263741719402388	in        	Active4   	chr2L     	249000    	300000    
FBgn0004611	Plc21C    	chr2L     	305935    	355566    	+         	305935    	-0.119771766912416	5935out   	NA        	NA        	NA        	NA        
FBgn0031248	CG11912   	chr2L     	318362    	319259    	-         	319259    	4.93067223088995	19259out  	NA        	NA        	NA        	NA        
FBgn0031249	CG11911   	chr2L     	320279    	321248    	-         	321248    	23.1662298107736	21248out  	NA        	NA        	NA        	NA        
FBgn0053127	CG33127   	chr2L     	322101    	323091    	+         	322101    	0.493620047138964	22101out  	NA        	NA        	NA        	NA        
FBgn0264086	CG43755   	chr2L     	325522    	329761    	-         	329761    	1.02359754000221	29761out  	NA        	NA        	NA        	NA        
FBgn0051921	CG31921   	chr2L     	329910    	332335    	-         	332335    	0.437155519439836	32335out  	NA        	NA        	NA        	NA        
FBgn0031250	Ent1      	chr2L     	355565    	357874    	-         	357874    	-0.0832761032812408	56126out  	NA        	NA        	NA        	NA        
FBgn0000061	al        	chr2L     	378112    	387439    	+         	378112    	-1.53932516836603	35888out  	NA        	NA        	NA        	NA        
FBgn0031251	CG4213    	chr2L     	396595    	402198    	-         	402198    	-0.0279403288624468	11802out  	NA        	NA        	NA        	NA        
FBgn0003278	RpI135    	chr2L     	404285    	407969    	+         	404285    	-0.140595391156502	9715out   	NA        	NA        	NA        	NA        
FBgn0264855	AP-2alpha 	chr2L     	408030    	414777    	-         	414777    	-0.198191016109048	in        	Active5   	chr2L     	414000    	452000    
FBgn0263933	ebi       	chr2L     	415067    	418536    	+         	415067    	-0.0763070362304835	in        	Active5   	chr2L     	414000    	452000    
FBgn0031252	CG13690   	chr2L     	418434    	419652    	-         	419652    	-0.254313278045065	in        	Active5   	chr2L     	414000    	452000    
FBgn0002593	RpLP1     	chr2L     	419952    	420864    	+         	419952    	0.0882620947202242	in        	Active5   	chr2L     	414000    	452000    
FBgn0031253	CG11885   	chr2L     	420895    	421450    	-         	421450    	-0.110138050766821	in        	Active5   	chr2L     	414000    	452000    
FBgn0031254	CG13692   	chr2L     	421771    	422489    	+         	421771    	-0.795511795967579	in        	Active5   	chr2L     	414000    	452000    
FBgn0031255	BBS8      	chr2L     	422873    	425321    	+         	422873    	-0.711564202505892	in        	Active5   	chr2L     	414000    	452000    
FBgn0004583	ex        	chr2L     	431227    	448701    	+         	431227    	-0.287314721120206	in        	Active5   	chr2L     	414000    	452000    
FBgn0263870	lncRNA:CR43717	chr2L     	439539    	440104    	+         	439539    	-0.0799015288716112	in        	Active5   	chr2L     	414000    	452000    
FBgn0015924	crq       	chr2L     	448254    	453024    	-         	453024    	-0.0981533924332803	in        	Active5   	chr2L     	414000    	452000    
FBgn0031256	shv       	chr2L     	453108    	454654    	+         	453108    	-0.103503474359865	1108out   	Active5   	chr2L     	414000    	452000    
FBgn0262510	CR43080   	chr2L     	454754    	455313    	+         	454754    	0.0208500632645897	2754out   	Active5   	chr2L     	414000    	452000    
FBgn0031257	CG4133    	chr2L     	455531    	458745    	+         	455531    	1.61070107018378	3531out   	Active5   	chr2L     	414000    	452000    
FBgn0031258	CG4297    	chr2L     	458876    	472200    	-         	472200    	-0.905888353945105	16800out  	NA        	NA        	NA        	NA        
FBgn0027592	MED15     	chr2L     	473013    	476170    	+         	473013    	-0.161188530835477	15987out  	NA        	NA        	NA        	NA        
FBgn0003963	ush       	chr2L     	476220    	540560    	+         	476220    	0.350930386082594	in        	PcG2      	chr2L     	489000    	541000    
FBgn0043364	cbt       	chr2L     	476446    	479688    	-         	479688    	0.601672743860031	9312out   	NA        	NA        	NA        	NA        
FBgn0267991	lncRNA:CR46258	chr2L     	490835    	492649    	+         	490835    	1.82971269910933	in        	PcG2      	chr2L     	489000    	541000    
FBgn0010602	lwr       	chr2L     	540599    	542580    	-         	542580    	-0.057596476038261	in        	PcG3      	chr2L     	541000    	589000    
FBgn0031260	Spp       	chr2L     	542786    	544653    	-         	544653    	-0.108493276599897	in        	PcG3      	chr2L     	541000    	589000    
FBgn0005660	Ets21C    	chr2L     	544925    	552923    	-         	552923    	5.09738592416779	in        	PcG3      	chr2L     	541000    	589000    
FBgn0031261	nAChRbeta3	chr2L     	545129    	547096    	+         	545129    	0.498967543313221	in        	PcG3      	chr2L     	541000    	589000    
FBgn0260933	rempA     	chr2L     	553742    	560310    	-         	560310    	0.222287376685033	in        	PcG3      	chr2L     	541000    	589000    
FBgn0031263	Tspo      	chr2L     	559612    	560523    	+         	559612    	0.188710637944889	in        	PcG3      	chr2L     	541000    	589000    
FBgn0031264	CG11835   	chr2L     	560568    	563819    	-         	563819    	-0.881657387936578	in        	PcG3      	chr2L     	541000    	589000    
FBgn0031265	CG2794    	chr2L     	564163    	566472    	+         	564163    	0.210340069202348	in        	PcG3      	chr2L     	541000    	589000    
FBgn0021874	Nle       	chr2L     	566366    	568121    	-         	568121    	-0.0572924506899588	in        	PcG3      	chr2L     	541000    	589000    
FBgn0031266	Sf3b1     	chr2L     	568340    	572907    	+         	568340    	-0.138655983610675	in        	PcG3      	chr2L     	541000    	589000    
FBgn0031267	Ipk2      	chr2L     	573033    	574264    	-         	574264    	0.322901575992718	in        	PcG3      	chr2L     	541000    	589000    
FBgn0031268	cold      	chr2L     	574291    	575734    	+         	574291    	0.0523793579301367	in        	PcG3      	chr2L     	541000    	589000    
FBgn0013323	Ptth      	chr2L     	575711    	576896    	-         	576896    	-0.636634260643235	in        	PcG3      	chr2L     	541000    	589000    
FBgn0023489	Pph13     	chr2L     	577486    	579549    	+         	577486    	3.08876469583975	in        	PcG3      	chr2L     	541000    	589000    
FBgn0031270	CG13689   	chr2L     	602813    	604430    	+         	602813    	0.355319001050132	in        	PcG4      	chr2L     	589000    	605000    
FBgn0040106	lectin-21Cb	chr2L     	620298    	621201    	-         	621201    	2.35256034211937	in        	Active6   	chr2L     	605000    	685000    
FBgn0284247	ds        	chr2L     	640013    	714983    	-         	714983    	-0.106223044703464	in        	Active7   	chr2L     	699000    	804000    
FBgn0011244	Hsp60B    	chr2L     	728362    	730564    	+         	728362    	1.29599170717112	in        	Active7   	chr2L     	699000    	804000    
FBgn0026438	Eaat2     	chr2L     	737212    	744395    	-         	744395    	3.37473225633344	in        	Active7   	chr2L     	699000    	804000    
FBgn0031275	GABA-B-R3 	chr2L     	749945    	762399    	+         	749945    	1.476366282757	in        	Active7   	chr2L     	699000    	804000    
FBgn0000442	Pkg21D    	chr2L     	786153    	790798    	-         	790798    	-1.98543680977249	in        	Active7   	chr2L     	699000    	804000    
FBgn0051658	Nnf1b     	chr2L     	810577    	811531    	+         	810577    	-0.727893426955503	in        	Active8   	chr2L     	804000    	851000    
FBgn0086130	Dbp21E2   	chr2L     	811584    	813380    	+         	811584    	0.0444701689609378	in        	Active8   	chr2L     	804000    	851000    
FBgn0031281	Saf6      	chr2L     	813314    	815950    	-         	815950    	-0.0398958110223428	in        	Active8   	chr2L     	804000    	851000    
FBgn0031282	Pex12     	chr2L     	815993    	818096    	+         	815993    	0.0386690812657333	in        	Active8   	chr2L     	804000    	851000    
FBgn0031284	PGAP2     	chr2L     	818079    	819508    	-         	819508    	-0.0851445229208369	in        	Active8   	chr2L     	804000    	851000    
FBgn0015621	Clp       	chr2L     	819964    	821209    	+         	819964    	-0.141825700280068	in        	Active8   	chr2L     	804000    	851000    
FBgn0031285	CG3662    	chr2L     	821289    	824337    	+         	821289    	0.195085949750102	in        	Active8   	chr2L     	804000    	851000    
FBgn0031286	CG3862    	chr2L     	824329    	825861    	-         	825861    	0.160478565307068	in        	Active8   	chr2L     	804000    	851000    
FBgn0010583	dock      	chr2L     	825969    	833241    	+         	825969    	-0.15434294488963	in        	Active8   	chr2L     	804000    	851000    
FBgn0020304	drongo    	chr2L     	833584    	851071    	-         	851071    	0.00999885744176925	in        	Active8   	chr2L     	804000    	851000    
FBgn0031287	CG4291    	chr2L     	851251    	852730    	-         	852730    	0.084875437299934	1730out   	Active8   	chr2L     	804000    	851000    
FBgn0020545	kraken    	chr2L     	852768    	854539    	+         	852768    	0.425739334170328	1768out   	Active8   	chr2L     	804000    	851000    
FBgn0031288	CG13949   	chr2L     	855337    	856639    	+         	855337    	1.27450322821871	4337out   	Active8   	chr2L     	804000    	851000    
FBgn0029095	aru       	chr2L     	861849    	868354    	-         	868354    	-0.138188607391529	2646out   	Null2     	chr2L     	871000    	977000    
FBgn0086031	snoRNA:Me28S-U1230	chr2L     	865366    	865493    	-         	865493    	0.17508290326145	5507out   	NA        	NA        	NA        	NA        
FBgn0020305	dbe       	chr2L     	868673    	869857    	-         	869857    	-0.112993704232202	1143out   	Null2     	chr2L     	871000    	977000    
FBgn0053526	PNUTS     	chr2L     	870465    	877038    	+         	870465    	0.398118154723602	in        	Null2     	chr2L     	871000    	977000    
FBgn0002936	ninaA     	chr2L     	877302    	878270    	+         	877302    	-0.163801410697511	in        	Null2     	chr2L     	871000    	977000    
FBgn0002563	Lsp1beta  	chr2L     	898500    	901316    	+         	898500    	-0.281722902584663	in        	Null2     	chr2L     	871000    	977000    
FBgn0046113	GluRIIC   	chr2L     	914086    	917805    	+         	914086    	0.539500387246116	in        	Null2     	chr2L     	871000    	977000    
FBgn0028481	CG4341    	chr2L     	922793    	958098    	+         	922793    	2.02796168910373	in        	Null2     	chr2L     	871000    	977000    
FBgn0031294	IA-2      	chr2L     	1008378   	1048053   	-         	1048053   	0.938949538227113	in        	Active9   	chr2L     	1048000   	1081000   
FBgn0031296	CG4415    	chr2L     	1037246   	1038685   	+         	1037246   	7.44251770240026	in        	Null3     	chr2L     	1009000   	1048000   
FBgn0003310	S         	chr2L     	1049674   	1077815   	-         	1077815   	-0.316805084852973	in        	Active9   	chr2L     	1048000   	1081000   
FBgn0015905	ast       	chr2L     	1077948   	1080803   	+         	1077948   	-0.0355288496755643	in        	Active9   	chr2L     	1048000   	1081000   
FBgn0031298	Atg4a     	chr2L     	1080911   	1085380   	+         	1080911   	-0.00163390837708948	in        	Active9   	chr2L     	1048000   	1081000   
FBgn0031299	CG4629    	chr2L     	1083091   	1102504   	-         	1102504   	-0.763068604813502	in        	Null4     	chr2L     	1081000   	1110000   
FBgn0261938	mtRNApol  	chr2L     	1103254   	1108373   	-         	1108373   	-0.00551431293051227	in        	Null4     	chr2L     	1081000   	1110000   
FBgn0016926	Pino      	chr2L     	1114654   	1128953   	-         	1128953   	-0.316298445806295	in        	Active10  	chr2L     	1116000   	1141000   
FBgn0031304	TBC1D23   	chr2L     	1129316   	1132411   	+         	1129316   	-0.00460006977635675	in        	Active10  	chr2L     	1116000   	1141000   
FBgn0031305	Iris      	chr2L     	1132332   	1134098   	-         	1134098   	2.34628864701338	in        	Active10  	chr2L     	1116000   	1141000   
FBgn0031306	CG4577    	chr2L     	1134693   	1141156   	+         	1134693   	1.51367353074696	in        	Active10  	chr2L     	1116000   	1141000   
FBgn0031307	MFS3      	chr2L     	1143201   	1147395   	+         	1143201   	-0.00812488626325127	in        	Active11  	chr2L     	1141000   	1196000   
FBgn0283525	l(2)10685 	chr2L     	1147822   	1149449   	+         	1147822   	-0.0680273871828844	in        	Active11  	chr2L     	1141000   	1196000   
FBgn0031309	Tfb4      	chr2L     	1149445   	1150677   	-         	1150677   	0.00561600099526815	in        	Active11  	chr2L     	1141000   	1196000   
FBgn0031310	Vps29     	chr2L     	1150766   	1151764   	+         	1150766   	-0.0253778440858143	in        	Active11  	chr2L     	1141000   	1196000   
FBgn0261458	capt      	chr2L     	1151678   	1158262   	-         	1158262   	-0.156900201354052	in        	Active11  	chr2L     	1141000   	1196000   
FBgn0031312	Tango14   	chr2L     	1158661   	1160220   	+         	1158661   	-0.0456496840295194	in        	Active11  	chr2L     	1141000   	1196000   
FBgn0031313	CG5080    	chr2L     	1160290   	1163886   	-         	1163886   	0.328094193305182	in        	Active11  	chr2L     	1141000   	1196000   
FBgn0031314	IntS14    	chr2L     	1164443   	1166425   	+         	1164443   	-0.0977729379144805	in        	Active11  	chr2L     	1141000   	1196000   
FBgn0031315	CG14341   	chr2L     	1166506   	1167211   	+         	1166506   	-0.0161183338555666	in        	Active11  	chr2L     	1141000   	1196000   
FBgn0024314	Plap      	chr2L     	1167172   	1170365   	-         	1170365   	-0.298421453350426	in        	Active11  	chr2L     	1141000   	1196000   
FBgn0051922	CG31922   	chr2L     	1170181   	1170789   	+         	1170181   	0.197098896683633	in        	Active11  	chr2L     	1141000   	1196000   
FBgn0031317	Charon    	chr2L     	1170753   	1172805   	-         	1172805   	0.0432357215835504	in        	Active11  	chr2L     	1141000   	1196000   
FBgn0031318	CG4887    	chr2L     	1173009   	1177589   	+         	1173009   	0.106064248446068	in        	Active11  	chr2L     	1141000   	1196000   
FBgn0031319	CG4896    	chr2L     	1177690   	1182454   	+         	1177690   	0.0137893198443672	in        	Active11  	chr2L     	1141000   	1196000   
FBgn0031320	CG5126    	chr2L     	1182297   	1184020   	-         	1184020   	-0.404465169729518	in        	Active11  	chr2L     	1141000   	1196000   
FBgn0031321	Tgt       	chr2L     	1184065   	1185698   	+         	1184065   	0.229749596719551	in        	Active11  	chr2L     	1141000   	1196000   
FBgn0031322	CG5001    	chr2L     	1185757   	1196807   	+         	1185757   	-0.673040811207597	in        	Active11  	chr2L     	1141000   	1196000   
FBgn0031327	CG5397    	chr2L     	1240036   	1243018   	+         	1240036   	0.0592522139779228	in        	Null6     	chr2L     	1229000   	1371000   
FBgn0026141	Cdlc2     	chr2L     	1344400   	1345135   	+         	1344400   	1.60503205453315	in        	Null6     	chr2L     	1229000   	1371000   
FBgn0053126	NLaz      	chr2L     	1359837   	1361821   	-         	1361821   	-0.263835326134128	in        	Null6     	chr2L     	1229000   	1371000   
FBgn0031337	CG14346   	chr2L     	1367996   	1369050   	+         	1367996   	5.09716111919247	in        	Null6     	chr2L     	1229000   	1371000   
FBgn0002543	robo2     	chr2L     	1380086   	1420453   	-         	1420453   	0.0750872367979887	in        	PcG5      	chr2L     	1371000   	1486000   
FBgn0266202	asRNA:CR44897	chr2L     	1381211   	1382796   	+         	1381211   	-0.269184423227072	in        	PcG5      	chr2L     	1371000   	1486000   
FBgn0263321	CG43402   	chr2L     	1442627   	1443832   	+         	1442627   	-1.71320772341504	in        	PcG5      	chr2L     	1371000   	1486000   
FBgn0031343	CG18131   	chr2L     	1498455   	1500608   	-         	1500608   	-0.655317277147162	in        	Null7     	chr2L     	1486000   	1615000   
FBgn0031344	CG7420    	chr2L     	1500784   	1502904   	-         	1502904   	0.146509964356278	in        	Null7     	chr2L     	1486000   	1615000   
FBgn0001174	halo      	chr2L     	1517533   	1518148   	-         	1518148   	4.20041027958724	in        	Null7     	chr2L     	1486000   	1615000   
FBgn0261509	haf       	chr2L     	1555129   	1609389   	+         	1555129   	0.144316486806224	in        	Null7     	chr2L     	1486000   	1615000   
FBgn0031347	nis       	chr2L     	1584866   	1587155   	-         	1587155   	1.13098899058161	in        	Null7     	chr2L     	1486000   	1615000   
FBgn0051935	CG31935   	chr2L     	1594822   	1611157   	-         	1611157   	0.133283127332936	in        	Null7     	chr2L     	1486000   	1615000   
FBgn0031351	CG14352   	chr2L     	1611410   	1612576   	+         	1611410   	-0.260657426146318	in        	Null7     	chr2L     	1486000   	1615000   
FBgn0021906	RFeSP     	chr2L     	1612429   	1614160   	-         	1614160   	-0.141550790417734	in        	Null7     	chr2L     	1486000   	1615000   
FBgn0086758	chinmo    	chr2L     	1651258   	1704682   	+         	1651258   	2.08003721364229	in        	PcG6      	chr2L     	1615000   	1684000   
FBgn0011570	cpb       	chr2L     	1704902   	1706962   	+         	1704902   	-0.171415152194282	in        	Null8     	chr2L     	1689000   	1709000   
FBgn0031356	CG17660   	chr2L     	1707132   	1710421   	-         	1710421   	-0.0188782366670261	in        	Active12  	chr2L     	1709000   	1761000   
FBgn0266311	asRNA:CR44976	chr2L     	1708452   	1709244   	+         	1708452   	0.0224608860092014	in        	Null8     	chr2L     	1689000   	1709000   
FBgn0031357	mRpL48    	chr2L     	1710462   	1711465   	+         	1710462   	-0.279967693233298	in        	Active12  	chr2L     	1709000   	1761000   
FBgn0086698	frtz      	chr2L     	1711302   	1715851   	-         	1715851   	0.00876800169087888	in        	Active12  	chr2L     	1709000   	1761000   
FBgn0031359	Rim2      	chr2L     	1716244   	1724388   	-         	1724388   	-0.160123553591392	in        	Active12  	chr2L     	1709000   	1761000   
FBgn0000579	Eno       	chr2L     	1724768   	1729636   	-         	1729636   	-0.142016466614828	in        	Active12  	chr2L     	1709000   	1761000   
FBgn0260648	Rrp40     	chr2L     	1728732   	1729762   	+         	1728732   	-0.229431188004505	in        	Active12  	chr2L     	1709000   	1761000   
FBgn0031360	CG31937   	chr2L     	1729887   	1731070   	+         	1729887   	-0.183385584910806	in        	Active12  	chr2L     	1709000   	1761000   
FBgn0031361	CG17652   	chr2L     	1731033   	1732356   	-         	1732356   	-0.0530425269234304	in        	Active12  	chr2L     	1709000   	1761000   
FBgn0264494	CG17646   	chr2L     	1732524   	1750612   	+         	1732524   	0.13745075001888	in        	Active12  	chr2L     	1709000   	1761000   
FBgn0027597	CG17712   	chr2L     	1750687   	1752122   	-         	1752122   	0.102997540128564	in        	Active12  	chr2L     	1709000   	1761000   
FBgn0031365	CG17650   	chr2L     	1758286   	1759093   	-         	1759093   	4.58556027134399	in        	Active12  	chr2L     	1709000   	1761000   
FBgn0051664	CG31664   	chr2L     	1824172   	1826500   	-         	1826500   	5.20597439286153	in        	Null10    	chr2L     	1816000   	1864000   
FBgn0031367	c-cup     	chr2L     	1831627   	1832565   	-         	1832565   	8.98758532562007	in        	Null10    	chr2L     	1816000   	1864000   
FBgn0051665	wry       	chr2L     	1836538   	1858550   	+         	1836538   	5.19752638814986	in        	Null10    	chr2L     	1816000   	1864000   
FBgn0051663	CG31663   	chr2L     	1858609   	1881480   	-         	1881480   	-1.26144981153826	in        	Null11    	chr2L     	1864000   	1884000   
FBgn0031374	Wdr62     	chr2L     	1884622   	1944289   	+         	1884622   	-0.0334601662256199	in        	Null12    	chr2L     	1884000   	1899000   
FBgn0267972	Der-1     	chr2L     	1973957   	1975413   	+         	1973957   	-0.0773698592310235	1957out   	PcG7      	chr2L     	1900001   	1972000   
FBgn0031377	CG15356   	chr2L     	1975463   	1980755   	-         	1980755   	-0.155368210660167	6245out   	NA        	NA        	NA        	NA        
FBgn0031378	CG15362   	chr2L     	1981176   	1982099   	+         	1981176   	-0.0920988524075816	5824out   	NA        	NA        	NA        	NA        
FBgn0031379	CG7289    	chr2L     	1982217   	1984514   	+         	1982217   	-0.0609708404004247	4783out   	Null13    	chr2L     	1987000   	2054000   
FBgn0001125	Got2      	chr2L     	1984512   	1987758   	-         	1987758   	0.110210320829722	in        	Null13    	chr2L     	1987000   	2054000   
FBgn0031381	Npc2a     	chr2L     	1988290   	1988940   	+         	1988290   	-0.92298832554265	in        	Null13    	chr2L     	1987000   	2054000   
FBgn0262148	lncRNA:CR42874	chr2L     	1989450   	1990894   	+         	1989450   	-2.39381881353795	in        	Null13    	chr2L     	1987000   	2054000   
FBgn0053543	CG33543   	chr2L     	1997102   	2006313   	-         	2006313   	0.62880105992022	in        	Null13    	chr2L     	1987000   	2054000   
FBgn0263441	asRNA:CR43464	chr2L     	2000058   	2003935   	+         	2000058   	-0.476174435209059	in        	Null13    	chr2L     	1987000   	2054000   
FBgn0040718	CG15353   	chr2L     	2006763   	2007193   	-         	2007193   	-0.466798581915688	in        	Null13    	chr2L     	1987000   	2054000   
FBgn0040717	Nplp4     	chr2L     	2008414   	2009072   	+         	2008414   	-1.08500550043832	in        	Null13    	chr2L     	1987000   	2054000   
FBgn0031384	CG4238    	chr2L     	2009859   	2030788   	+         	2009859   	-0.464512269818223	in        	Null13    	chr2L     	1987000   	2054000   
FBgn0259230	lectin-22C	chr2L     	2036409   	2037265   	-         	2037265   	4.54873783575098	in        	Null13    	chr2L     	1987000   	2054000   
FBgn0003557	Su(dx)    	chr2L     	2037714   	2044372   	+         	2037714   	-0.126569852634138	in        	Null13    	chr2L     	1987000   	2054000   
FBgn0028952	Kebab     	chr2L     	2045494   	2048054   	+         	2045494   	0.189361744506232	in        	Null13    	chr2L     	1987000   	2054000   
FBgn0026396	Or22c     	chr2L     	2054589   	2057967   	+         	2054589   	0.990671850913295	in        	Null14    	chr2L     	2054000   	2104000   
FBgn0053516	dpr3      	chr2L     	2058790   	2109878   	-         	2109878   	1.22763725744825	in        	Null14    	chr2L     	2054000   	2104000   
FBgn0031388	CG12674   	chr2L     	2079919   	2081286   	+         	2079919   	1.74350324585074	in        	Null14    	chr2L     	2054000   	2104000   
FBgn0031389	CG4259    	chr2L     	2127309   	2129237   	-         	2129237   	0.415562140514207	25237out  	NA        	NA        	NA        	NA        
FBgn0004507	GlyP      	chr2L     	2130813   	2137296   	+         	2130813   	0.194842444323506	26813out  	NA        	NA        	NA        	NA        
FBgn0031390	tho2      	chr2L     	2137350   	2145187   	-         	2145187   	-0.102920655022882	41187out  	NA        	NA        	NA        	NA        
