seqnames	start	end	width	strand	Conc	Conc_WD_SUMOnub	Conc_WD_NOnub	Fold	p.value	FDR	WD_SUMOnub1	WD_SUMOnub2	WD_SUMOnub3	WD_NOnub1	WD_NOnub2	WD_NOnub3
chr2R	21047238	21048494	1257	*	7.81080382094905	6.47715356105696	8.49179144554314	-1.99609520139261	4.64941236949934e-20	9.55602627433268e-19	93.27	67.14	106.85	339.93	426.07	313.95
chr2L	18880710	18882092	1383	*	7.02537650788068	5.82682248141575	7.67088287551484	-1.84691363383242	6.57776816621434e-20	1.32377584345064e-18	60.77	50.7	58.82	190.43	194.22	226.7
chr3R	29526324	29528517	2194	*	7.52589236594081	6.53766358884061	8.10690968548174	-1.5483049287769	1.3287361839402e-19	2.61950847691068e-18	80.55	95.23	102.93	280.13	257.45	289.49
chr2L	1972396	1973247	852	*	6.09781673752984	3.97871484193021	6.92141108887686	-2.9320639726391	1.41294920859866e-19	2.7298178710126e-18	22.61	10.96	13.72	121.18	112.92	129.54
chr4	506843	509297	2455	*	7.56252217756602	6.40434362933411	8.19657832695517	-1.78660478944398	1.61145108623903e-19	2.99706556153501e-18	96.1	67.82	90.19	288	329.72	262.39
chrX	19361156	19361897	742	*	6.95146763222374	5.56661251159524	7.64485159115833	-2.07838973015051	1.61332721738945e-19	2.99706556153501e-18	57.94	41.1	43.13	165.25	224.33	210.84
chr3R	16234339	16235927	1589	*	7.21466653181381	5.75201047657301	7.92587547845814	-2.12430028367122	2.12135706017714e-19	3.86647343420966e-18	55.12	57.55	49.01	250.23	293.58	185.73
chr3R	4478158	4479657	1500	*	7.80590880765759	6.17769806015687	8.55137062315434	-2.3252823445216	2.41178659939312e-19	4.31441825002547e-18	83.38	73.99	59.8	418.62	457.69	249.18
chr2L	20016649	20018070	1422	*	8.3359971979847	7.15811811294035	8.975691682359	-1.79740476801409	2.50639541541388e-19	4.40214176598147e-18	152.63	121.94	153.91	522.49	599.21	388.63
chr3L	2386665	2388528	1864	*	7.85544940537147	6.67030848532906	8.49719741729273	-1.78173697579	3.48503767135687e-19	5.93394471572534e-18	70.66	112.35	122.54	379.28	364.34	340.39
chr2R	18256653	18258170	1518	*	6.49316427883256	4.48814785846933	7.30123441059712	-2.66175404686394	3.50139595027272e-19	5.93394471572534e-18	11.31	31.51	24.51	169.97	161.09	142.1
chr3R	7936564	7937920	1357	*	6.97532882548846	5.38579480356434	7.71320698814841	-2.31679509727895	5.21225556497997e-19	8.68110150994939e-18	57.94	32.2	35.29	217.18	237.88	174.49
chr2R	7186465	7187677	1213	*	8.51044094938115	7.38789909348563	9.13404198934219	-1.72324727767519	7.74447670228009e-19	1.26799398210213e-17	166.76	151.4	184.3	571.28	682.02	432.26
chr2L	11210063	11211042	980	*	7.1950285125333	5.93118482545159	7.8582064185751	-1.87136797445792	8.55665080717254e-19	1.36083092259681e-17	42.4	67.14	73.52	231.34	239.38	225.38
chr3L	17254087	17254731	645	*	6.64789253031973	5.04146431930341	7.3891132046194	-2.33453055583324	8.59323874517652e-19	1.36083092259681e-17	45.22	28.09	25.49	188.85	168.62	145.41
chr2R	11789359	11790328	970	*	6.9940554020582	5.80602968649993	7.63661551544685	-1.80583859506432	9.19551179532622e-19	1.43272006359438e-17	57.94	52.07	57.84	210.89	212.28	173.83
chr3R	25094086	25095304	1219	*	6.83713140484511	5.59955824976109	7.49332072773324	-1.88992009454499	9.98055719227832e-19	1.53035210281601e-17	49.46	41.1	54.9	168.39	179.16	193
chr2L	8466295	8467472	1178	*	6.89117046369429	5.44419845612416	7.59888036994404	-2.13731322399158	1.25211442904636e-18	1.88991021634185e-17	50.88	35.62	44.11	174.69	236.37	170.52
chr2L	19189418	19190384	967	*	7.1387142077898	5.73194369662246	7.83723941325393	-2.07289964296772	1.33710910460184e-18	1.98714983853136e-17	55.12	44.53	59.8	237.64	267.99	180.44
chr3R	16025603	16026480	878	*	6.32621373302583	4.57897860107825	7.09355318664277	-2.50022489883436	2.43545428986488e-18	3.56461946062041e-17	29.68	18.5	23.53	154.23	111.41	144.09
chr2R	8030683	8031398	716	*	6.6430490023681	5.28890375027474	7.32906402479327	-2.01493965244815	2.69549553044362e-18	3.88634131702767e-17	40.98	39.05	37.25	180.98	135.5	165.9
chr2R	24813264	24815247	1984	*	7.72050647023431	6.80766250199069	8.2752062794925	-1.44891973992432	3.37020982824105e-18	4.78768043247185e-17	98.93	111.67	125.48	281.7	335.74	311.97
chr2L	11221006	11222119	1114	*	7.39682242148505	5.79082180249092	8.13795907361984	-2.29620656332029	4.18154492582241e-18	5.85416289615137e-17	57.94	49.33	58.82	303.74	352.3	189.03
chr3R	26097822	26100258	2437	*	7.69626434379203	6.615793167393	8.30708310458217	-1.69672558474671	7.60256995142812e-18	1.04915465329708e-16	124.36	76.73	93.13	321.05	329.72	299.41
chr3R	10849189	10850835	1647	*	7.94878176912461	6.44302792933915	8.66937007479095	-2.18571903143176	1.3437452161162e-17	1.82825053347641e-16	101.75	80.84	78.42	415.48	532.97	272.97
chr3R	7962195	7964816	2622	*	8.39380592002698	7.09018685590803	9.06726402984636	-1.95744272684077	1.77630245933865e-17	2.38320579961268e-16	175.24	104.13	129.4	618.49	585.66	405.16
chr2R	9492458	9494633	2176	*	8.32899597774325	6.69326841248378	9.07590369514236	-2.33587782385864	2.70904822066106e-17	3.58485011117614e-16	122.95	76.73	110.77	627.93	657.93	333.12
chr2L	10661183	10662208	1026	*	6.76115173991466	5.44493097385398	7.43779327796976	-1.99447109418449	2.77736198771896e-17	3.62558335153583e-16	56.53	34.94	39.21	177.84	183.68	158.63
chr3R	14819666	14820514	849	*	6.29381743937145	4.83039036990197	7.00519719946658	-2.13907186165528	3.55472567084185e-17	4.55412602646998e-16	31.09	28.77	25.49	119.61	141.52	124.26
chr2L	3538315	3540647	2333	*	8.57232467713728	7.71667498476435	9.10577199758377	-1.38648756106628	3.58295629411717e-17	4.55412602646998e-16	202.09	182.92	246.05	487.87	545.01	619.96
chrX	18928917	18930353	1437	*	7.39961450922342	6.2663849876856	8.02638625889487	-1.73329666994582	4.24872000271433e-17	5.33021236704161e-16	67.83	71.93	91.17	221.9	307.13	253.14
chrX	2123734	2126472	2739	*	7.88809624790262	6.95364867513487	8.45052890533132	-1.48052796044415	4.52450169950877e-17	5.60342133554548e-16	103.17	122.63	146.06	341.51	320.68	387.31
chr3L	12627470	12628492	1023	*	6.56529491109036	5.27326826308718	7.23579360646107	-1.94348344344773	4.65939537519425e-17	5.69743788916158e-16	40.98	32.88	42.15	163.67	149.05	139.46
chr2R	13021538	13024966	3429	*	8.41924222105308	7.487753196614	8.98062515190968	-1.4929945872347	4.78730430876564e-17	5.78066995283451e-16	187.96	146.61	203.9	498.89	439.62	577
chr2R	22241437	22244246	2810	*	7.90515219353075	7.03198045922587	8.44523375508938	-1.41356754063727	5.0746049162304e-17	6.05193623343033e-16	128.6	113.04	150.97	327.34	340.25	378.06
chr2L	5301257	5301763	507	*	5.38886352798447	2.44070139654247	6.29223113066556	-3.5918477168237	5.3425325994841e-17	6.29376401353858e-16	4.24	6.17	5.88	69.25	91.84	74.03
chr2R	13010411	13013882	3472	*	8.06495525460452	7.14973715690655	8.62051258203107	-1.47276655152153	5.89428257465437e-17	6.8600927314652e-16	161.11	110.98	153.91	387.15	415.53	378.06
chrX	2973558	2974770	1213	*	6.84471767079963	5.64494814441806	7.49056241756474	-1.83369055393886	8.35172517150129e-17	9.60448394722648e-16	50.88	40.42	58.82	169.97	195.72	173.83
chrX	13256875	13258034	1160	*	6.83979692161401	5.5075894969152	7.52042725588306	-1.97574371933252	8.81703521808965e-17	1.00203012007936e-15	43.81	39.73	52.94	177.84	218.31	154.66
chr2R	14207278	14208766	1489	*	7.47662389283797	6.13768059682412	8.15891842617168	-1.99312822704174	1.18325303603214e-16	1.32909585210122e-15	66.42	50.7	94.11	327.34	271	259.09
chr3R	8180532	8182973	2442	*	7.69350584941177	6.77304018602221	8.25095176157255	-1.48272989436174	1.96530254414609e-16	2.18216351453463e-15	134.26	93.86	99.99	314.75	311.65	287.51
chr3L	6788540	6790363	1824	*	7.42280868835585	6.42993882063574	8.00538662592156	-1.56086955160961	2.56068355426297e-16	2.81093217433867e-15	87.62	73.99	97.05	286.43	254.44	230.01
chr3L	6903600	6904954	1355	*	7.24743320138001	6.19970036824652	7.8479620304255	-1.60703796522847	3.1692450574442e-16	3.40594180747506e-15	56.53	76.73	87.25	243.93	225.83	221.42
chr3L	282099	283028	930	*	6.60368920793081	5.33203891056567	7.26891303439423	-1.90077709942564	3.20841436793062e-16	3.40594180747506e-15	35.33	40.42	45.09	130.62	170.13	161.93
chr3R	7312562	7313740	1179	*	6.58706919755735	5.0430939883789	7.31569572258301	-2.22849040139879	3.20849590559245e-16	3.40594180747506e-15	39.57	39.73	19.61	149.51	156.58	171.85
chr3L	13499262	13500079	818	*	5.80896795536438	3.8562290052768	6.60944311665126	-2.71190559234221	3.29188510480907e-16	3.45647936004952e-15	18.37	12.33	12.74	96	91.84	105.09
chr3R	17700106	17701225	1120	*	6.61733774482009	5.27923749672214	7.29942452041401	-1.98022897542798	3.76100490870651e-16	3.90659219549515e-15	33.92	33.57	49.01	149.51	177.66	145.41
chr3R	9247281	9247805	525	*	6.1668763072817	4.18679345617545	6.97136334259271	-2.75815713989139	5.40656403784601e-16	5.55610729846728e-15	25.44	9.59	19.61	133.77	130.98	111.7
chr2L	5460849	5462568	1720	*	7.38859290486755	6.18329052286812	8.03597333049252	-1.8241125369054	6.35765199161254e-16	6.46472823568181e-15	60.77	58.23	99.01	276.98	255.94	254.46
chr3L	21706066	21707384	1319	*	7.21747921519416	5.96813242301644	7.87682053599686	-1.88071685436664	8.14107892337227e-16	8.19196066664334e-15	70.66	60.29	56.86	207.74	301.11	196.3
chr2L	15110464	15112318	1855	*	7.49171200166949	6.29559770998172	8.13653807821371	-1.83770966899689	1.22341023423099e-15	1.21836524357437e-14	108.82	65.08	61.76	299.02	292.08	253.14
chrX	5679484	5680298	815	*	6.409809691393	5.0439600182176	7.09865619545286	-2.02384202814316	1.34831466689392e-15	1.32905302879544e-14	31.09	33.57	34.31	114.89	137.01	159.29
chr3L	1366720	1367787	1068	*	7.45856872693486	6.49760284403273	8.03028158037456	-1.52838180250314	1.40480958852152e-15	1.37075359849675e-14	93.27	71.93	105.87	270.69	260.46	253.14
chr2L	12586690	12587754	1065	*	6.75623604773563	5.65926010874931	7.37212745621038	-1.68440850160088	1.64082899265119e-15	1.58504080690105e-14	52.29	49.33	50	180.98	168.62	147.39
chr3R	26914856	26916021	1166	*	6.95309176023785	5.89076269829232	7.55824624117838	-1.64793175477034	1.93318349612824e-15	1.84896560124741e-14	63.6	57.55	56.86	173.11	219.81	172.51
chr3L	9006696	9008155	1460	*	6.67475913628419	5.43849223584857	7.33059673833182	-1.89523895412612	2.02961615968117e-15	1.92216589240393e-14	53.7	41.1	35.29	147.93	150.56	184.4
chrX	7194565	7196507	1943	*	7.50359430632296	6.48873458815266	8.09347622781218	-1.60288272731493	2.20708359704525e-15	2.06994442208322e-14	104.58	88.38	76.46	221.9	298.1	299.41
chr3L	2878704	2879780	1077	*	7.45394401626199	5.90692145308515	8.18320040736274	-2.24473630075196	2.77870877152666e-15	2.58099295509111e-14	84.79	45.22	50	291.15	367.35	213.48
chr3L	3845502	3846433	932	*	6.57723094928999	5.37701372183123	7.22320023831817	-1.81224812138795	2.95144662411529e-15	2.71533089418606e-14	35.33	38.36	50.98	141.64	156.58	150.03
chrX	9135052	9135821	770	*	7.10755072064474	5.70070181085959	7.80609414561931	-2.09625828916861	3.05902319521478e-15	2.78775132695988e-14	72.07	34.94	49.01	226.62	254.44	190.35
chr2R	12955410	12956553	1144	*	7.89197861428911	7.03088502489892	8.42749902796756	-1.39471483766932	4.84832829311156e-15	4.37708890761287e-14	125.78	125.37	141.16	303.74	320.68	408.46
chr3R	21459857	21460362	506	*	5.93149090090732	3.99011146685075	6.73027357490412	-2.62844984952122	6.79544853008448e-15	6.07815118524223e-14	15.55	16.44	15.68	108.59	127.97	81.96
chr3L	9040008	9041975	1968	*	7.58992927218919	6.50271204009197	8.20283056861991	-1.70515392562282	1.09633926272447e-14	9.71618098891597e-14	115.88	63.03	93.13	286.43	298.1	299.41
chr3L	11197073	11198379	1307	*	7.81636989883954	6.43525818874382	8.50886598170641	-2.03371492019407	1.11250177870097e-14	9.76978834750121e-14	100.34	73.99	85.29	428.07	432.09	232.65
chr3R	16882255	16883115	861	*	6.3020815698812	5.09131420485062	6.95097147146132	-1.84570967515843	1.7530918973416e-14	1.5256637593081e-13	36.74	32.2	33.33	121.18	120.44	129.54
chr2R	21571292	21572115	824	*	6.35494035333546	4.87132413323584	7.07075347623343	-2.1497377181823	1.78874612851384e-14	1.54279353584319e-13	31.09	25.35	31.37	165.25	130.98	107.07
chr3L	12692459	12693930	1472	*	7.38654877388597	6.31247458180407	7.99538094369807	-1.68463168050817	2.89081843916573e-14	2.47126602852575e-13	89.03	58.23	91.17	220.33	264.98	280.24
chrX	3255337	3256145	809	*	6.48933910165892	5.10804365068596	7.181878831427	-2.02766287469682	3.61924830376845e-14	3.03819256671443e-13	40.98	36.99	25.49	149.51	167.12	118.97
chr2L	9124132	9126342	2211	*	8.48008203442383	7.27369142494164	9.12776362018019	-1.82450824716534	3.62996936898557e-14	3.03819256671443e-13	182.31	132.91	149.01	631.08	679	368.15
chrX	15553706	15555102	1397	*	7.20666388818984	5.8514929306565	7.89292818710739	-1.9620169690773	3.64834718156185e-14	3.03819256671443e-13	38.16	73.3	61.76	256.52	269.49	187.05
chr2L	13043863	13044388	526	*	5.85638522124164	4.00101180159042	6.64184276609628	-2.57499642051242	4.03167899604384e-14	3.32871958134902e-13	21.2	15.07	11.76	116.46	97.86	85.26
chr3L	21807873	21808975	1103	*	7.65706880402896	6.34720107643666	8.33210979808895	-1.96484549528778	4.2087496756719e-14	3.43038599332999e-13	110.23	57.55	76.46	335.21	382.41	249.18
chr3R	10614334	10615453	1120	*	6.82938165242175	5.76832965716227	7.43413387619734	-1.63379690176525	4.22583781787028e-14	3.43038599332999e-13	43.81	52.07	67.64	176.26	164.11	178.45
chr3L	16451550	16452481	932	*	6.9211649935894	5.63303936936457	7.59066106564872	-1.94759471582724	4.76103175939003e-14	3.81797960082613e-13	69.25	40.42	39.21	207.74	209.27	161.27
chr3L	9004491	9005475	985	*	6.63376933705844	5.44426181896628	7.27674578591306	-1.78796714837293	4.78235540062073e-14	3.81797960082613e-13	45.22	52.07	33.33	146.36	170.13	148.71
chr2L	21753239	21754124	886	*	6.95687783819123	5.99595537663556	7.52857568338949	-1.53372843614383	5.58159570999641e-14	4.41952578348896e-13	67.83	52.07	71.56	177.84	189.7	186.39
chr2L	18011859	18012692	834	*	6.24806616375978	4.37497865818608	7.03634378824838	-2.52794404349294	6.01756587616049e-14	4.72599076127726e-13	11.31	20.55	30.39	152.66	140.02	101.12
chr4	500924	502727	1804	*	6.7958247466386	5.50453162518659	7.46613517440726	-1.94537583324678	6.17474189326765e-14	4.81032312007786e-13	53.7	31.51	50.98	188.85	194.22	147.39
chr2R	11538542	11539670	1129	*	6.67727510097027	5.39636612380951	7.34490737099317	-1.91590118031901	8.3087436363962e-14	6.42099708220698e-13	49.46	37.68	39.21	192	170.13	125.58
chr2L	7358942	7359611	670	*	5.23814639371337	0.869380224423844	6.20280172428567	-4.4000697248046	8.92219049874416e-14	6.84034604903719e-13	0	5.48	0	78.69	82.81	59.48
chr3L	22179449	22180198	750	*	5.14007171931516	1.28194667921469	6.08945079044253	-4.36434273130569	1.000772779717e-13	7.61217720635136e-13	1.41	0	5.88	75.54	69.26	59.48
chr2L	14020353	14022132	1780	*	7.65357655313727	5.74433027200262	8.44748774766966	-2.62407001917755	1.03965053563931e-13	7.84611263615292e-13	81.97	37.68	41.17	357.25	487.8	202.25
chr2L	594484	595266	783	*	6.61101631333055	5.48228430237312	7.23645749709288	-1.72201181070261	1.10443933325984e-13	8.27045268162023e-13	43.81	52.07	38.23	133.77	152.06	166.56
chr3R	29818451	29819358	908	*	6.60260416013909	5.15367737850027	7.31075271066658	-2.1428421845147	1.1621752933757e-13	8.63585641077635e-13	46.64	21.92	38.23	166.82	174.64	134.83
chr2R	12909244	12910401	1158	*	6.40729976241996	5.13770430491301	7.0719864198822	-1.91742132752268	1.19010882882265e-13	8.77591701253956e-13	36.74	26.72	42.15	149.51	121.95	132.19
chr3L	14204267	14205801	1535	*	7.78331902181401	6.61247183570532	8.4210123155289	-1.78467686675401	1.91198223958001e-13	1.3992233662381e-12	121.54	80.84	91.17	385.57	397.47	245.21
chrX	12715809	12716682	874	*	6.60495777443055	5.48495706456288	7.22780043781107	-1.69532061294874	2.56091898004212e-13	1.86003589076743e-12	35.33	50.01	49.01	130.62	161.09	157.97
chr2L	3422780	3423725	946	*	6.78081240062874	5.07852420683307	7.54014013330075	-2.39826132360569	3.27164530150891e-13	2.3585144486997e-12	42.4	24.66	34.31	240.79	203.25	114.34
chr3L	12690062	12691638	1577	*	7.09804554526859	6.07529901700774	7.69051121694425	-1.62003498778222	3.29885626106509e-13	2.36051492458436e-12	86.21	51.38	64.7	223.48	203.25	193
chr2R	11561050	11562252	1203	*	6.50827761664751	5.27911265916117	7.16219586410289	-1.89142879492447	3.40044590387327e-13	2.41531672289822e-12	53.7	29.46	33.33	146.36	144.53	138.8
chr2L	7544064	7545378	1315	*	7.58713214322858	6.19545370978522	8.28212717012886	-2.05689173400676	3.87401337140589e-13	2.72089437464734e-12	100.34	47.96	71.56	352.52	355.31	226.04
chr3R	16206860	16207998	1139	*	6.38037561220218	5.00603112326929	7.07125936538835	-2.03008308861452	3.88699196378191e-13	2.72089437464734e-12	36.74	25.35	34.31	144.79	153.57	105.09
chr3L	9018747	9020327	1581	*	7.23305770810698	6.03026213615383	7.87974328498757	-1.85153300580164	4.10154477302547e-13	2.85042607967094e-12	87.62	41.79	66.66	240.79	215.29	250.5
chr2L	87390	89059	1670	*	8.13935526317632	6.49432266162049	8.88804046589406	-2.33453513356325	1.02297423140312e-12	7.05852219668154e-12	142.74	63.03	64.7	495.74	614.27	311.3
chr3R	4851859	4853138	1280	*	7.1660841581285	6.07141475947359	7.78127121447827	-1.71511242466892	1.16864623127311e-12	8.00646992489238e-12	94.69	54.12	52.94	203.02	234.87	222.08
chr2L	5420844	5422132	1289	*	6.5775776478145	5.43683129436769	7.2065612583182	-1.75632768139934	1.49409437381809e-12	1.0164050458509e-11	48.05	32.88	49.01	141.64	168.62	132.85
chr3R	13901158	13902238	1081	*	6.77963120848943	5.84590925548324	7.34180667763224	-1.49746774793477	1.5705821284554e-12	1.06096666859295e-11	65.01	57.55	50	152.66	153.57	180.44
