seqnames	start	end	width	strand	Conc	Conc_WD_SUMOnub	Conc_WD_NOnub	Fold	p.value	FDR	WD_SUMOnub1	WD_SUMOnub2	WD_NOnub1	WD_NOnub2
dpr21_FBgn0260995_Up	chr2R	3064499	3193011	128513	*	7.7598701442894	8.7598701442894	0	21.0085704325514	3.47859427708772e-07	5.75533423144163e-05	0	866.99	0	0
Tbh_FBgn0010329_notChanged	chrX	7993697	8029394	35698	*	6.57809399348213	7.57809399348213	0	20.2665455235424	3.86357843106695e-07	5.83665786540746e-05	0	382.18	0	0
Neto_FBgn0265416_Down	chrX	13443903	13529282	85380	*	7.65327533754063	8.65327533754063	0	20.9194050274101	3.88052200178193e-07	5.83665786540746e-05	0	805.24	0	0
CG7900_FBgn0037548_notChanged	chr3R	8092124	8131835	39712	*	10.5246610322776	10.7573306940816	10.2471143737554	0.432314968394347	4.32669795776489e-07	6.2248015401061e-05	1725.38	1736.48	1239.28	1191.35
CG1354_FBgn0030151_notChanged	chrX	9776742	9857449	80708	*	7.31064284888873	8.31064284888873	0	20.6257074248828	5.53560617509455e-07	7.63221701391162e-05	0	635.01	0	0
Tom_FBgn0026320_notChanged	chr3L	14967344	15003319	35976	*	10.9340096693755	10.6409367609041	11.1774815856353	-0.449124636492735	6.02922331917978e-07	7.71833274784709e-05	1532.15	1661.38	2345.15	2287.05
jdp_FBgn0027654_notChanged	chr3R	30525037	30529037	4001	*	5.97048931508698	6.97048931508698	0	8.96571436404803	6.32794941221944e-07	7.71833274784709e-05	141.5	109.31	0	0
CG34347_FBgn0085376_notChanged	chr3R	31309157	31376198	67042	*	7.160954971558	8.160954971558	0	20.4983919075366	6.44137193706871e-07	7.71833274784709e-05	0	572.43	0	0
CG43902_FBgn0264503_notChanged	chrX	10156434	10197337	40904	*	6.48708305497464	7.48708305497464	0	20.0923379017591	6.53107636566088e-07	7.71833274784709e-05	0	358.81	0	0
Ptp99A_FBgn0004369_notChanged	chr3R	29375646	29495518	119873	*	7.20445661019458	8.20445661019458	0	20.4124503442928	7.12800222065543e-07	8.13329632694787e-05	0	589.95	0	0
SK_FBgn0029761_Up	chrX	5338236	5407138	68903	*	7.04267095356229	8.04267095356229	0	20.3829512987409	7.38010477635207e-07	8.14025556831633e-05	0	527.37	0	0
sns_FBgn0024189_notChanged	chr2R	8796489	8858091	61603	*	7.18390505125361	8.18390505125361	0	20.1181043202571	1.00287048598888e-06	0.000107048336714103	0	581.61	0	0
E23_FBgn0020445_notChanged	chr2L	3352829	3356829	4001	*	5.88675084413661	6.88675084413661	0	8.86133806373638	1.37249874881255e-06	0.000141924948744398	101.49	135.18	0	0
Wnt2_FBgn0004360_Down	chr2R	9492166	9543565	51400	*	6.30874581371613	7.30874581371613	0	19.7529837612106	1.51333484258835e-06	0.000151746211943177	0	317.09	0	0
bru2_FBgn0262475_notChanged	chr2L	12342219	12404023	61805	*	6.30113262960626	7.30113262960626	0	19.7153616312712	1.57735963918156e-06	0.000153514207236818	0	315.42	0	0
CG4267_FBgn0264979_Up	chr2L	2240378	2249383	9006	*	6.04461122159796	7.04461122159796	0	8.99766580200798	1.68811956151023e-06	0.000159599646543925	88.81	175.23	0	0
lncRNA:CR45437_FBgn0266986_notChanged	chr3L	16195219	16200852	5634	*	8.88284298724099	8.29907159091633	9.29728456534782	-0.745316883193765	2.21523874090397e-06	0.000203617360934756	316.19	313.75	571.34	686.98
CG43689_FBgn0263772_notChanged	chrX	4073743	4094237	20495	*	6.59069561422333	7.59069561422333	0	9.46125588071292	3.01111164807366e-06	0.000269291039012858	63.43	322.1	0	0
lncRNA:CR44268_FBgn0265254_notChanged	chr2L	23171073	23179906	8834	*	10.0686096407627	9.57664857499102	10.4347971054492	-0.617307019211449	7.52432421679712e-06	0.000655210232457413	743.63	783.54	1239.28	1529.05
CG2233_FBgn0029990_notChanged	chrX	8035517	8039517	4001	*	6.70471024572103	7.40934578266954	5.27134851951983	1.75806323512109	9.47051367350409e-06	0.000803536660144231	152.24	187.75	39.56	37.68
Psc_FBgn0005624_notChanged	chr2R	12978994	12982994	4001	*	5.58715209788907	6.58715209788907	0	8.41174490826694	1.04436393570141e-05	0.000863950065808992	94.66	97.63	0	0
CG5122_FBgn0032471_notChanged	chr2L	13128591	13136804	8214	*	5.68657181510831	6.68657181510831	0	8.44563315533162	1.42656947906939e-05	0.00115134595274161	74.17	131.84	0	0
svp_FBgn0003651_notChanged	chr3R	12256737	12304785	48049	*	7.07829522533603	8.07090990872095	0.464713256616412	7.10636267170612	1.51059003923045e-05	0.00119012915233656	54.65	483.14	2.76	0
onecut_FBgn0028996_notChanged	chr4	605649	637350	31702	*	10.9913440399263	10.7636467520338	11.1879550058888	-0.35161102121748	1.70923694598285e-05	0.00131531745447843	1680.49	1796.56	2336.87	2329.08
Pdfr_FBgn0260753_notChanged	chrX	2550206	2582560	32355	*	7.31279849691198	8.30861823730262	0	7.81093345443494	1.81084076588944e-05	0.00136183456689276	34.16	599.97	1.84	0
upd3_FBgn0053542_Up	chrX	18275233	18286596	11364	*	6.01114910463294	7.01114910463294	0	8.67287686325777	1.88522551061582e-05	0.00138626915880617	58.55	199.43	0	0
CG10841_FBgn0038163_notChanged	chr3R	13629942	13636861	6920	*	5.62485268978849	6.62485268978849	0	8.31270443501247	1.99302928899056e-05	0.00143368128636299	72.22	125.17	0	0
Nep3_FBgn0031081_notChanged	chrX	19959297	19971323	12027	*	6.50756279299438	7.41598953652473	3.48432210897138	3.59879223649513	2.47465753766727e-05	0.00174226421109383	111.25	230.31	6.44	15.94
lncRNA:CR45936_FBgn0267598_notChanged	chr3L	18241700	18246239	4540	*	8.21451581642136	7.71258538544968	8.58617363913318	-0.589696325017107	2.55074469507487e-05	0.00175841962416724	200.06	219.46	384.57	384.07
Sep4_FBgn0259923_notChanged	chrX	16693173	16716372	23200	*	6.53688336784746	7.53688336784746	0	8.96565266371597	3.18423236514171e-05	0.00215033161148039	35.13	336.28	0	0
tsh_FBgn0003866_notChanged	chr2L	21826593	21839011	12419	*	9.63640925042151	9.3361797474121	9.88479447322301	-0.412714962453383	4.94474027971116e-05	0.00327242911711285	634.33	658.38	973.39	917.43
CG12541_FBgn0029930_notChanged	chrX	7064052	7074689	10638	*	5.84031406751233	6.84031406751233	0	8.09690205955078	5.58653423680653e-05	0.00362467486070447	49.77	179.41	0	0
Pkcdelta_FBgn0287828_notChanged	chrX	12430224	12455650	25427	*	6.31983762205049	7.31983762205049	0	8.45100757239238	6.13527961315957e-05	0.00390416158460481	34.16	285.38	0	0
CG11378_FBgn0040364_notChanged	chrX	1168828	1175797	6970	*	5.60507471611245	6.60507471611245	0	7.72496684377556	7.36881251689936e-05	0.00458560677484292	53.67	141.02	0	0
eIF3f2_FBgn0033069_Up	chr2R	6198853	6207224	8372	*	5.62486959961159	6.60455365746841	0.464713256616412	5.15512786118714	7.48331114661583e-05	0.00458560677484292	81.97	112.65	2.76	0
CG11263_FBgn0036330_Down	chr3L	13004817	13050919	46103	*	11.4386022050982	11.2539444378222	11.6022841364789	-0.289059846907784	0.000100637376489299	0.00605471052369257	2362.63	2521.7	3125.34	3092.87
jigr1_FBgn0039350_notChanged	chr3R	25635843	25653874	18032	*	11.2617361223266	11.0208454825977	11.4681008565474	-0.347667262605781	0.000105331837483178	0.00622398303985422	2090.36	2065.25	2674.52	2991.42
Rh5_FBgn0014019_notChanged	chr2L	12006153	12011832	5680	*	7.64603938362003	8.34513665211836	6.23680477441118	1.18938233497156	0.000113158806895885	0.00656916652664003	428.42	221.96	65.32	85.51
hdc_FBgn0010113_notChanged	chr3R	30275932	30374382	98451	*	12.0142111438587	11.7910737661489	12.2074146867506	-0.328495591933722	0.000131129757387171	0.00748117874472668	3343.4	3744.16	4843.95	4614.67
CG32767_FBgn0052767_notChanged	chrX	5082768	5256864	174097	*	9.16962741434307	10.1696274143431	0	9.83142118784799	0.000145930846932209	0.00818449444913018	129.79	2173.73	0	0
dl_FBgn0260632_notChanged	chr2L	17448364	17460775	12412	*	8.41366510166398	8.87550084520819	7.7302899772671	0.603095270035846	0.00015469253352794	0.00843916903364216	470.38	468.96	249.33	175.37
c12.1_FBgn0040235_notChanged	chrX	9317223	9326458	9236	*	7.55746742190517	8.02434109554805	6.86288659731212	0.610290881314505	0.000155572472363908	0.00843916903364216	236.17	284.55	116.84	115.95
CG30428_FBgn0050428_Down	chr2R	25249927	25257318	7392	*	5.36101776010759	0	6.36101776010759	-7.0595206730133	0.000173894565887143	0.00928092126646057	0	0	122.36	42.03
fz_FBgn0001085_notChanged	chr3L	14272343	14370639	98297	*	12.0780051500431	11.8255506425691	12.2927927151436	-0.351637530566508	0.000179904655215091	0.00944927784296405	3374.63	3884.35	5184.36	4850.91
prage_FBgn0283741_Up	chrX	1771719	1855667	83949	*	10.5437322033515	11.0332171171693	9.7972531122142	0.616720510617762	0.000185834935080677	0.00960824687784315	1594.61	2596.8	967.87	811.63
Sp1_FBgn0020378_notChanged	chrX	9727648	9758369	30722	*	6.55760858468152	7.55760858468152	0	7.48350474777118	0.00020903545476366	0.010641512612507	14.64	362.15	0	0
CG15646_FBgn0030665_notChanged	chrX	15669029	15673029	4001	*	5.08125714784031	5.99308723430286	2.00506058632522	2.59637422794846	0.000218948031830594	0.0109772581413248	55.63	71.76	3.68	4.35
CR43361_FBgn0263093_Up	chr4	903179	909924	6746	*	10.0791421898077	9.71063909680313	10.3724116968412	-0.424480229133786	0.000252363762596068	0.0124637565735879	842.19	833.61	1196.04	1455.13
CG15322_FBgn0031088_notChanged	chrX	20131579	20140878	9300	*	5.67023231475431	6.67023231475431	0	6.53893446504385	0.000257302997353246	0.0125208179153219	35.13	168.56	0	0
Cht10_FBgn0250907_Down	chr2L	23023915	23027915	4001	*	9.25969549767739	8.7524725487503	9.63423374221638	-0.489796148058317	0.0002687610773757	0.0128888464497999	464.52	398.03	703.82	885.54
CG9682_FBgn0039760_notChanged	chr3R	30248928	30254830	5903	*	9.08951252329413	8.778609491013	9.3451497999584	-0.386687471553654	0.000292026040782455	0.0136206787759827	429.39	448.93	668.86	631.91
eIF4E7_FBgn0040368_notChanged	chrX	1160389	1164389	4001	*	5.1022539031492	6.1022539031492	0	5.93564156025999	0.000292253911482253	0.0136206787759827	55.63	81.78	0	0
Msr-110_FBgn0015766_notChanged	chr3L	5575348	5579348	4001	*	8.74496687705623	8.39820084558453	9.02432547824564	-0.40547438077581	0.000323560217135064	0.0148612775745508	325.95	348.8	532.7	508.72
CG9095_FBgn0030617_Up	chrX	15161225	15165225	4001	*	5.25299186692505	6.25299186692505	0	5.88991287173222	0.000327855322738654	0.0148612775745508	44.89	107.64	0	0
CG31676_FBgn0051676_notChanged	chr2L	20838750	20863014	24265	*	6.21887717064841	7.21887717064841	0	6.49290864585206	0.000348869408626162	0.015600119907351	17.57	280.37	0	0
Gli_FBgn0001987_notChanged	chr2L	15760758	15773159	12402	*	8.25559062965549	8.60599538741558	7.79180616915314	0.457665464468914	0.000354093253962181	0.0156225943648114	362.06	417.22	227.25	215.95
mol_FBgn0086711_Up	chr2L	14995559	14999559	4001	*	5.01202405630936	6.01202405630936	0	5.56770062443642	0.000362463646504657	0.0157814763984725	61.48	67.59	0	0
Sulf1_FBgn0040271_Up	chr3R	16337575	16352801	15227	*	8.88235309293935	9.27186738249462	8.34712107075692	0.474236731235165	0.000414177007634719	0.0175874387842537	619.69	616.66	374.45	276.82
CG43737_FBgn0263994_notChanged	chrX	15173441	15191931	18491	*	5.93314816056697	6.93314816056697	0	6.01758157106971	0.000414572446410333	0.0175874387842537	22.45	221.96	0	0
lncRNA:CR45054_FBgn0266414_notChanged	chr3R	10081381	10103356	21976	*	10.1327521269434	10.5133802832841	9.61423999274864	0.464885523576559	0.000445340420068324	0.0186535626583049	1412.11	1511.18	918.19	649.3
mib1_FBgn0263601_notChanged	chr3L	16009812	16013812	4001	*	6.88954919892596	7.65077644216474	5.17675279946315	0.941407107940262	0.000487252673737352	0.0201539887174612	228.36	173.56	50.6	21.74
CG14502_FBgn0034321_notChanged	chr2R	18286696	18297658	10963	*	8.95466225837022	8.54469872045767	9.27353738862241	-0.419424234572947	0.000501596705181364	0.0204911542894461	357.18	389.69	566.74	671.04
Cals_FBgn0039928_notChanged	chr4	1121357	1139919	18563	*	10.3018318005006	9.98309295623359	10.5627361157177	-0.37499560720411	0.000526472145927516	0.0212450772057823	994.43	1029.71	1380.04	1644.99
DAAM_FBgn0025641_notChanged	chrX	1320362	1331438	11077	*	7.8196940581764	8.25396520396436	7.19547748458534	0.476805547406266	0.000558633431762293	0.022271301514475	291.79	318.76	165.61	127.54
poe_FBgn0011230_notChanged	chr2L	8069624	8075948	6325	*	7.74903369025795	6.89260101040674	8.28277984615974	-0.520885766251217	0.000579379953227436	0.0228234317289236	96.61	141.02	353.29	269.58
CG42598_FBgn0260997_Up	chr3L	26369356	26373356	4001	*	7.72868659891515	6.81090650731831	8.2851671481265	-0.52898647741493	0.000599506111851072	0.0233384202837082	92.71	131.84	255.77	368.13
28SrRNA-Psi:CR40741_FBgn0085771_notChanged	chrX	23237718	23242975	5258	*	5.01927471819366	6.01927471819366	0	4.6269327883838	0.000666811474518327	0.0256567345253621	42.94	86.78	0	0
E5_FBgn0008646_notChanged	chr3R	13872916	13876916	4001	*	4.8732392526769	5.8732392526769	0	4.48796175746059	0.000685661602649504	0.0260787844042208	54.65	62.58	0	0
Ttc30_FBgn0032470_notChanged	chr2L	13104807	13111468	6662	*	5.17578338420124	6.17578338420124	0	4.64851007255374	0.00069882963883558	0.026277582669397	36.11	108.48	0	0
Ptpmeg2_FBgn0028341_notChanged	chrX	9657145	9664903	7759	*	7.4228025996764	7.84383192129463	6.82578127752763	0.447668084056623	0.000762966530080458	0.0283669241352386	216.65	242.82	109.48	117.4
CG8051_FBgn0031012_notChanged	chrX	19305925	19309925	4001	*	5.49746373593209	6.2874937579733	3.61324041067276	0.853088648627792	0.000822719988706337	0.0294740542614368	76.12	80.11	12.88	11.59
Tudor-SN_FBgn0035121_notChanged	chr3L	262380	307292	44913	*	11.6831944394533	11.5604686752305	11.7962938281066	-0.19939410096064	0.000824994511486794	0.0294740542614368	3039.9	3000.67	3600.07	3513.18
CG10433_FBgn0034638_notChanged	chr2R	21606125	21610125	4001	*	4.89671600591875	5.89671600591875	0	4.18621910541724	0.000832669617659558	0.0294740542614368	44.89	74.27	0	0
Rph_FBgn0030230_notChanged	chrX	10755666	10759666	4001	*	4.89671600591875	5.89671600591875	0	4.18621910541724	0.000832669617659558	0.0294740542614368	44.89	74.27	0	0
Sym_FBgn0037371_notChanged	chr3R	5740476	5749138	8663	*	7.74936341908412	8.19600344173853	7.09904006074933	0.447115971643474	0.000837280477659433	0.0294740542614368	298.62	287.88	158.24	115.95
CG6287_FBgn0032350_Down	chr2L	11153721	11157721	4001	*	7.21018421203174	6.51881529415853	7.67561964929644	-0.444456542182682	0.00091791134754022	0.0319723015685325	96.61	86.78	188.61	220.3
Cow_FBgn0039054_notChanged	chr3R	23110730	23114730	4001	*	4.6267265104999	5.61323184814717	0	2.94659724390837	0.000967374590111373	0.0327785622976751	53.67	44.23	0.92	0
Lim3_FBgn0002023_notChanged	chr2L	19106427	19210621	104195	*	12.2603617911092	12.1110297640551	12.3956762125669	-0.229855294181472	0.000969127068056503	0.0327785622976751	4235.37	4611.98	5401.49	5375.57
raptor_FBgn0029840_notChanged	chrX	6088201	6105971	17771	*	7.67301226896482	8.43445008777686	5.95904537014609	0.708398516839467	0.000970776399266291	0.0327785622976751	237.14	454.77	91.08	33.33
rux_FBgn0003302_notChanged	chrX	6035800	6071264	35465	*	8.92201125123083	9.52787924719343	7.85741329353368	0.476597331631428	0.00104763372538148	0.0349773690449381	571.87	904.54	307.29	156.53
na_FBgn0002917_Up	chrX	14264367	14279416	15050	*	7.22124950876467	8.06639440255385	4.92473894929981	0.960741197323834	0.00105703744469441	0.0349773690449381	221.53	314.59	50.6	10.15
Der-1_FBgn0267972_notChanged	chr2L	1971957	1977413	5457	*	5.04808258341261	6.04808258341261	0	3.69751227436981	0.00117947776985453	0.0386424944598876	32.2	100.13	0	0
CG15236_FBgn0033108_Up	chr2R	6826356	6840360	14005	*	5.98141932322643	6.98141932322643	0	4.1272156198024	0.00121295363407542	0.0393496428936821	10.73	241.99	0	0
CG1582_FBgn0030246_notChanged	chrX	10897302	10969134	71833	*	9.87181307218186	10.3786141477177	9.08370716281267	0.416113899392205	0.00131067054837905	0.0421068819862746	977.84	1684.75	632.98	452.19
Erk7_FBgn0052703_notChanged	chrX	9265698	9277653	11956	*	7.88252413068551	8.32070647069243	7.25012732873573	0.405402179959267	0.00132842204635207	0.0422668129940287	283.98	355.47	171.13	133.34
Tollo_FBgn0029114_notChanged	chr3L	15233619	15244832	11214	*	8.92260942322666	8.55134913784132	9.21761904062972	-0.363251654080239	0.001373346400954	0.0432800308643503	346.44	403.87	628.38	562.34
CG12984_FBgn0037042_notChanged	chr3L	20989673	20994930	5258	*	8.21354434200354	7.7921584143864	8.53926812793373	-0.373622636910294	0.00142658795284775	0.0443212243142867	202.99	240.32	364.33	379.73
4E-T_FBgn0052016_notChanged	chr4	956392	964692	8301	*	9.56183502708257	9.10162432644143	9.91020333139809	-0.38085451185115	0.00143317346679622	0.0443212243142867	533.81	564.92	814.23	1110.19
CG6118_FBgn0038339_Up	chr3R	15432738	15436738	4001	*	4.80972303147959	5.80972303147959	0	3.22767811156992	0.00146522353643201	0.0448928211301252	37.08	75.1	0	0
CG42788_FBgn0261859_notChanged	chr3R	15129926	15133926	4001	*	6.89429543058794	5.98827351618634	7.44652043981376	-0.406623266807478	0.00151475141981409	0.0459845178730717	52.7	74.27	172.05	176.82
CG31705_FBgn0028490_Up	chr2L	11526205	11530205	4001	*	6.76677479635883	7.53270950898656	5.02754062981068	0.58075789693022	0.00153780965604611	0.0462601104714235	165.9	204.44	47.84	17.39
THADA_FBgn0031077_notChanged	chrX	19863524	19910108	46585	*	8.94568956487447	9.62691889606403	7.61106220641728	0.464763518182668	0.00155832526027232	0.0464549395156858	593.34	987.98	285.21	105.8
yellow-e_FBgn0041711_notChanged	chr3R	13413286	13417286	4001	*	5.01265072644827	6.01265072644827	0	3.04738462586037	0.00175049124457106	0.0517176386454074	27.32	101.8	0	0
lncRNA:CR44744_FBgn0265957_notChanged	chr2L	5256942	5261992	5051	*	9.274530297391	8.93867695081737	9.54677408830856	-0.339239707917183	0.00185272396144247	0.0539472073772746	489.9	491.49	679.9	815.97
slbo_FBgn0005638_Up	chr2R	24332307	24336307	4001	*	4.71927903306155	5.71927903306155	0	2.82634591395416	0.00185856199486531	0.0539472073772746	36.11	69.26	0	0
crp_FBgn0001994_notChanged	chr2L	16285730	16315097	29368	*	10.3825684512897	10.5609511399196	10.1789758357543	0.272715499636435	0.00191647640325066	0.0551445253770124	1449.2	1572.1	1134.4	1184.1
Not3_FBgn0033029_notChanged	chr2R	5661222	5674800	13579	*	10.2876958794439	10.0111643011218	10.5196524090155	-0.313316259134307	0.00204617893606015	0.0583690180984745	992.48	1071.43	1353.36	1582.67
lncRNA:CR44222_FBgn0265153_notChanged	chr2L	221519	236208	14690	*	10.3578197555531	10.1661420704907	10.5269918915837	-0.261226696939721	0.002073217118195	0.0586348328556175	1104.71	1193.26	1478.49	1472.52
CG9861_FBgn0034844_Up	chr2R	23321659	23328745	7087	*	4.78606607366471	5.78606607366471	0	2.62332154980639	0.00218357695441739	0.0612326791709079	30.25	80.11	0	0
Dscam2_FBgn0265296_notChanged	chr3L	7187931	7191931	4001	*	4.69032982865051	5.69032982865051	0	2.53437732793481	0.00226334065109973	0.0629360858360422	33.18	70.09	0	0
Ect3_FBgn0260746_Down	chr3R	11997278	12005516	8239	*	4.33932885633722	5.3228424171611	0	1.78983814055299	0.00230135431026527	0.0634598451055649	34.16	45.89	0.92	0
knrl_FBgn0001323_notChanged	chr3L	20618659	20622659	4001	*	4.52624917845531	5.52624917845531	0	2.38879160872237	0.002401801123254	0.065682313362376	42.94	49.23	0	0
CG31999_FBgn0051999_notChanged	chr4	225748	247903	22156	*	10.41429408424	10.0718665987995	10.6908346972017	-0.329387883959848	0.00245771050986483	0.066421534698288	1092.02	1060.58	1443.53	1862.39
CG1722_FBgn0031168_notChanged	chrX	21249148	21253148	4001	*	4.71908420834717	5.71908420834717	0	2.42744130029259	0.00246897817101524	0.066421534698288	30.25	75.1	0	0
Eglp4_FBgn0034885_notChanged	chr2R	23612710	23618754	6045	*	4.97049905680993	5.94917438610385	0	1.60378422474436	0.00252096412068278	0.0672731473817687	29.28	94.29	1.84	0
CG4702_FBgn0037992_notChanged	chr3R	12126201	12130201	4001	*	4.73794025992214	5.73794025992214	0	2.33031369999863	0.00267063304386553	0.0706969979372082	28.3	78.44	0	0
upd2_FBgn0030904_Up	chrX	18241284	18245284	4001	*	4.53683458472849	5.53683458472849	0	2.22804836912389	0.00272912515059025	0.0716720247881202	36.11	56.74	0	0
CG14408_FBgn0030581_notChanged	chrX	14830033	14935946	105914	*	10.4460103679756	10.9061617318653	9.76635375823362	0.341389824388561	0.00277063932757197	0.0721893349207531	1384.79	2453.27	977.99	763.8
Pdcd4_FBgn0030520_notChanged	chrX	13753406	13814870	61465	*	10.3210396890557	10.6547212501525	9.88619775549909	0.333539334819133	0.00300889081437385	0.0777845289434614	1329.16	1895.03	975.23	917.43
Cyp18a1_FBgn0010383_Up	chrX	18691042	18695042	4001	*	4.44098469015017	5.44098469015017	0	2.0493673491332	0.00307015011665755	0.0787529204342623	40.99	45.89	0	0
CG43192_FBgn0262821_notChanged	chr2R	13475342	13480079	4738	*	9.0185456185771	8.66056551432008	9.30512372085099	-0.32149126363804	0.00312898682035671	0.079644749142772	419.63	389.69	569.5	695.68
RSG7_FBgn0024941_Up	chrX	16842433	16846433	4001	*	4.73219343576763	5.73219343576763	0	2.0881166752036	0.00322865255897592	0.0815542848675674	25.37	80.94	0	0
p-cup_FBgn0030840_notChanged	chrX	17446774	17454543	7770	*	6.43829839446627	7.15367188803258	4.9566996625481	0.353047771588804	0.00345909732075321	0.0867132805634271	93.69	191.09	33.12	28.99
bab2_FBgn0025525_notChanged	chr3L	1175276	1179276	4001	*	4.39420467832725	5.39420467832725	0	1.87807996721013	0.00351416523180444	0.0872204902064371	44.89	39.22	0	0
CG32066_FBgn0052066_notChanged	chr3L	10659013	10698877	39865	*	11.2853374943726	11.0667665394472	11.4751098149525	-0.268859343841593	0.00353204765417424	0.0872204902064371	1998.63	2291.39	2971.69	2721.85
lncRNA:CR46057_FBgn0267724_notChanged	chr3R	21644301	21648603	4303	*	9.04475382662527	8.66356273217538	9.34598625437	-0.317708271625131	0.00361305020631301	0.0885598750569612	425.49	385.51	576.86	724.67
lncRNA:CR45734_FBgn0267298_notChanged	chr3L	20918802	20923749	4948	*	8.91270895783173	8.46725252662621	9.25258523531792	-0.320276480353151	0.00376348089960523	0.091568811005836	318.14	389.69	537.3	682.64
Uba1_FBgn0023143_notChanged	chr2R	9691328	9695328	4001	*	7.23754909286522	7.66713158795286	6.62304914764634	0.311695186762683	0.00405340282705799	0.0979029923703277	225.43	181.07	95.68	101.45
CG9815_FBgn0034861_notChanged	chr2R	23431354	23435354	4001	*	4.37932731859312	5.37932731859312	0	1.70973894874066	0.00409172503694331	0.0981124503423581	33.18	50.07	0	0
CG6867_FBgn0030887_notChanged	chrX	18021870	18030261	8392	*	5.3000986579909	6.3000986579909	0	1.96107761030314	0.00414537675592676	0.0984840495698064	10.73	146.86	0	0
Pif1A_FBgn0261015_notChanged	chr3R	8799176	8809581	10406	*	9.76652665253516	9.57414792774435	9.93624445641249	-0.248109872609578	0.00416674733749559	0.0984840495698064	742.65	781.88	972.47	987
