seqnames	start	end	width	strand
76	chr2L	4185001	4230000	45000	*
77	chr2L	4230001	4345000	115000	*
78	chr2L	4345001	4385000	40000	*
79	chr2L	4385001	4440000	55000	*
80	chr2L	4465001	4535000	70000	*
81	chr2L	4545001	4615000	70000	*
82	chr2L	4615001	4665000	50000	*
83	chr2L	4670001	4795000	125000	*
84	chr2L	4810001	4885000	75000	*
85	chr2L	4885001	4920000	35000	*
86	chr2L	4925001	4940000	15000	*
87	chr2L	4940001	4960000	20000	*
88	chr2L	4960001	5010000	50000	*
89	chr2L	5010001	5045000	35000	*
90	chr2L	5055001	5095000	40000	*
91	chr2L	5105001	5175000	70000	*
92	chr2L	5180001	5220000	40000	*
93	chr2L	5220001	5270000	50000	*
94	chr2L	5270001	5315000	45000	*
95	chr2L	5325001	5365000	40000	*
96	chr2L	5365001	5515000	150000	*
97	chr2L	5515001	5550000	35000	*
98	chr2L	5550001	5710000	160000	*
99	chr2L	5710001	5820000	110000	*
100	chr2L	5820001	5825000	5000	*
101	chr2L	5835001	5980000	145000	*
102	chr2L	5980001	6000000	20000	*
103	chr2L	6000001	6035000	35000	*
104	chr2L	6050001	6070000	20000	*
105	chr2L	6070001	6100000	30000	*
106	chr2L	6100001	6315000	215000	*
107	chr2L	6315001	6340000	25000	*
108	chr2L	6360001	6430000	70000	*
109	chr2L	6455001	6480000	25000	*
110	chr2L	6495001	6525000	30000	*
111	chr2L	6525001	6570000	45000	*
112	chr2L	6570001	6610000	40000	*
113	chr2L	6610001	6645000	35000	*
114	chr2L	6645001	6685000	40000	*
115	chr2L	6685001	6725000	40000	*
116	chr2L	6725001	6800000	75000	*
117	chr2L	6800001	6845000	45000	*
118	chr2L	6845001	6880000	35000	*
119	chr2L	6895001	6920000	25000	*
120	chr2L	6920001	6950000	30000	*
121	chr2L	6975001	7025000	50000	*
122	chr2L	7075001	7205000	130000	*
123	chr2L	7205001	7285000	80000	*
124	chr2L	7285001	7345000	60000	*
125	chr2L	7350001	7385000	35000	*
126	chr2L	7435001	7495000	60000	*
127	chr2L	7495001	7535000	40000	*
128	chr2L	7535001	7720000	185000	*
129	chr2L	7720001	7730000	10000	*
130	chr2L	7740001	7770000	30000	*
131	chr2L	7770001	7810000	40000	*
132	chr2L	7810001	7830000	20000	*
133	chr2L	7830001	7870000	40000	*
134	chr2L	7885001	8000000	115000	*
135	chr2L	8000001	8015000	15000	*
136	chr2L	8020001	8035000	15000	*
137	chr2L	8035001	8085000	50000	*
138	chr2L	8085001	8130000	45000	*
139	chr2L	8130001	8170000	40000	*
140	chr2L	8170001	8220000	50000	*
141	chr2L	8220001	8265000	45000	*
142	chr2L	8265001	8300000	35000	*
143	chr2L	8300001	8330000	30000	*
144	chr2L	8330001	8360000	30000	*
145	chr2L	8360001	8415000	55000	*
146	chr2L	8415001	8455000	40000	*
147	chr2L	8460001	8480000	20000	*
148	chr2L	8480001	8535000	55000	*
149	chr2L	8550001	8595000	45000	*
150	chr2L	8600001	8725000	125000	*
151	chr2L	8730001	8740000	10000	*
152	chr2L	8740001	8885000	145000	*
153	chr2L	8885001	8950000	65000	*
154	chr2L	8950001	8985000	35000	*
155	chr2L	8985001	9000000	15000	*
156	chr2L	9005001	9120000	115000	*
157	chr2L	9120001	9170000	50000	*
158	chr2L	9170001	9190000	20000	*
159	chr2L	9195001	9265000	70000	*
160	chr2L	9265001	9415000	150000	*
161	chr2L	9415001	9445000	30000	*
162	chr2L	9445001	9465000	20000	*
163	chr2L	9465001	9475000	10000	*
164	chr2L	9485001	9525000	40000	*
165	chr2L	9540001	9570000	30000	*
166	chr2L	9570001	9625000	55000	*
167	chr2L	9625001	9695000	70000	*
168	chr2L	9695001	9720000	25000	*
169	chr2L	9720001	9760000	40000	*
170	chr2L	9760001	9795000	35000	*
171	chr2L	9795001	9885000	90000	*
172	chr2L	9885001	9920000	35000	*
173	chr2L	9920001	9935000	15000	*
174	chr2L	9935001	9970000	35000	*
175	chr2L	9970001	9975000	5000	*
176	chr2L	9980001	10010000	30000	*
177	chr2L	10010001	10055000	45000	*
178	chr2L	10075001	10140000	65000	*
179	chr2L	10165001	10200000	35000	*
180	chr2L	10200001	10220000	20000	*
181	chr2L	10240001	10265000	25000	*
182	chr2L	10275001	10300000	25000	*
183	chr2L	10300001	10355000	55000	*
184	chr2L	10355001	10365000	10000	*
185	chr2L	10365001	10375000	10000	*
186	chr2L	10375001	10440000	65000	*
187	chr2L	10440001	10475000	35000	*
188	chr2L	10475001	10520000	45000	*
189	chr2L	10520001	10540000	20000	*
190	chr2L	10540001	10595000	55000	*
191	chr2L	10600001	10715000	115000	*
192	chr2L	10715001	10755000	40000	*
193	chr2L	10755001	10830000	75000	*
194	chr2L	10830001	10865000	35000	*
195	chr2L	10865001	10945000	80000	*
196	chr2L	10955001	11010000	55000	*
197	chr2L	11010001	11080000	70000	*
198	chr2L	11080001	11135000	55000	*
199	chr2L	11135001	11170000	35000	*
200	chr2L	11170001	11270000	100000	*
201	chr2L	11290001	11445000	155000	*
202	chr2L	11455001	11525000	70000	*
203	chr2L	11525001	11540000	15000	*
204	chr2L	11545001	11715000	170000	*
205	chr2L	11720001	11815000	95000	*
206	chr2L	11815001	11995000	180000	*
207	chr2L	12000001	12070000	70000	*
208	chr2L	12075001	12095000	20000	*
209	chr2L	12115001	12135000	20000	*
210	chr2L	12135001	12145000	10000	*
211	chr2L	12150001	12205000	55000	*
212	chr2L	12205001	12215000	10000	*
213	chr2L	12225001	12245000	20000	*
214	chr2L	12255001	12350000	95000	*
215	chr2L	12355001	12425000	70000	*
216	chr2L	12435001	12455000	20000	*
217	chr2L	12455001	12520000	65000	*
218	chr2L	12520001	12550000	30000	*
219	chr2L	12550001	12560000	10000	*
220	chr2L	12575001	12690000	115000	*
221	chr2L	12690001	12720000	30000	*
222	chr2L	12720001	12805000	85000	*
223	chr2L	12805001	12860000	55000	*
224	chr2L	12860001	12935000	75000	*
225	chr2L	12940001	12960000	20000	*
226	chr2L	12960001	13030000	70000	*
227	chr2L	13030001	13155000	125000	*
228	chr2L	13165001	13215000	50000	*
229	chr2L	13215001	13310000	95000	*
230	chr2L	13310001	13355000	45000	*
231	chr2L	13365001	13400000	35000	*
232	chr2L	13400001	13450000	50000	*
233	chr2L	13455001	13550000	95000	*
234	chr2L	13550001	13560000	10000	*
235	chr2L	13575001	13625000	50000	*
236	chr2L	13680001	13770000	90000	*
237	chr2L	13770001	13840000	70000	*
238	chr2L	13840001	13855000	15000	*
239	chr2L	13860001	13875000	15000	*
240	chr2L	13875001	13930000	55000	*
241	chr2L	13930001	14010000	80000	*
242	chr2L	14010001	14040000	30000	*
243	chr2L	14045001	14160000	115000	*
244	chr2L	14160001	14250000	90000	*
245	chr2L	14250001	14355000	105000	*
246	chr2L	14365001	14465000	100000	*
247	chr2L	14470001	14590000	120000	*
248	chr2L	14590001	14645000	55000	*
249	chr2L	14650001	14690000	40000	*
250	chr2L	14715001	14735000	20000	*
251	chr2L	14740001	14895000	155000	*
252	chr2L	14895001	14900000	5000	*
253	chr2L	14905001	14985000	80000	*
254	chr2L	14990001	15000000	10000	*
255	chr2L	15000001	15035000	35000	*
256	chr2L	15035001	15055000	20000	*
257	chr2L	15055001	15125000	70000	*
258	chr2L	15125001	15250000	125000	*
259	chr2L	15250001	15270000	20000	*
260	chr2L	15280001	15425000	145000	*
261	chr2L	15425001	15495000	70000	*
262	chr2L	15495001	15585000	90000	*
263	chr2L	15595001	15655000	60000	*
264	chr2L	15725001	15795000	70000	*
265	chr2L	15800001	15895000	95000	*
266	chr2L	15905001	15935000	30000	*
267	chr2L	15935001	16140000	205000	*
268	chr2L	16160001	16255000	95000	*
269	chr2L	16255001	16290000	35000	*
270	chr2L	16290001	16325000	35000	*
271	chr2L	16325001	16350000	25000	*
272	chr2L	16360001	16485000	125000	*
273	chr2L	16495001	16545000	50000	*
274	chr2L	16545001	16585000	40000	*
275	chr2L	16585001	16675000	90000	*
276	chr2L	16675001	16705000	30000	*
277	chr2L	16720001	16755000	35000	*
278	chr2L	16755001	16805000	50000	*
279	chr2L	16805001	16840000	35000	*
280	chr2L	16840001	16880000	40000	*
281	chr2L	16880001	16945000	65000	*
282	chr2L	16945001	17095000	150000	*
283	chr2L	17100001	17145000	45000	*
284	chr2L	17150001	17385000	235000	*
285	chr2L	17385001	17465000	80000	*
286	chr2L	17470001	17515000	45000	*
287	chr2L	17515001	17545000	30000	*
288	chr2L	17545001	17820000	275000	*
289	chr2L	17825001	17995000	170000	*
290	chr2L	17995001	18055000	60000	*
291	chr2L	18060001	18105000	45000	*
292	chr2L	18105001	18135000	30000	*
293	chr2L	18135001	18150000	15000	*
294	chr2L	18165001	18290000	125000	*
295	chr2L	18290001	18330000	40000	*
296	chr2L	18335001	18440000	105000	*
297	chr2L	18440001	18485000	45000	*
298	chr2L	18485001	18515000	30000	*
299	chr2L	18515001	18585000	70000	*
300	chr2L	18585001	18620000	35000	*
301	chr2L	18620001	18665000	45000	*
302	chr2L	18665001	18715000	50000	*
303	chr2L	18715001	18815000	100000	*
304	chr2L	18815001	18860000	45000	*
305	chr2L	18860001	18935000	75000	*
306	chr2L	18945001	19010000	65000	*
307	chr2L	19010001	19065000	55000	*
308	chr2L	19065001	19120000	55000	*
309	chr2L	19135001	19165000	30000	*
310	chr2L	19190001	19345000	155000	*
311	chr2L	19365001	19425000	60000	*
312	chr2L	19455001	19535000	80000	*
313	chr2L	19535001	19580000	45000	*
314	chr2L	19595001	19655000	60000	*
315	chr2L	19675001	19705000	30000	*
316	chr2L	19710001	19725000	15000	*
317	chr2L	19725001	19805000	80000	*
318	chr2L	19805001	19890000	85000	*
319	chr2L	19890001	19960000	70000	*
320	chr2L	19960001	20060000	100000	*
321	chr2L	20060001	20115000	55000	*
322	chr2L	20125001	20155000	30000	*
323	chr2L	20220001	20275000	55000	*
324	chr2L	20280001	20305000	25000	*
325	chr2L	20310001	20340000	30000	*
326	chr2L	20340001	20395000	55000	*
327	chr2L	20395001	20405000	10000	*
328	chr2L	20410001	20445000	35000	*
329	chr2L	20460001	20635000	175000	*
330	chr2L	20635001	20740000	105000	*
331	chr2L	20745001	20760000	15000	*
332	chr2L	20760001	20795000	35000	*
333	chr2L	20795001	20825000	30000	*
334	chr2L	20825001	20885000	60000	*
335	chr2L	20885001	20925000	40000	*
336	chr2L	20925001	21040000	115000	*
337	chr2L	21050001	21140000	90000	*
338	chr2L	21140001	21180000	40000	*
339	chr2L	21180001	21215000	35000	*
340	chr2L	21235001	21265000	30000	*
341	chr2L	21265001	21350000	85000	*
342	chr2L	21355001	21405000	50000	*
343	chr2L	21570001	21600000	30000	*
344	chr2L	21605001	21685000	80000	*
345	chr2L	21685001	21695000	10000	*
346	chr2L	21700001	21760000	60000	*
347	chr2L	21760001	21900000	140000	*
348	chr2L	21900001	21985000	85000	*
349	chr2L	21990001	22115000	125000	*
350	chr2L	22115001	22135000	20000	*
351	chr2L	22135001	22170000	35000	*
352	chr2L	22170001	22230000	60000	*
353	chr2L	22235001	22265000	30000	*
354	chr2L	22305001	22330000	25000	*
355	chr2L	22335001	22375000	40000	*
356	chr2L	22530001	22565000	35000	*
357	chr2L	22625001	22645000	20000	*
358	chr2L	22685001	22725000	40000	*
359	chr2L	22725001	22740000	15000	*
360	chr2L	22745001	22765000	20000	*
361	chr2L	22920001	22945000	25000	*
362	chr2L	22960001	22985000	25000	*
363	chr2L	22985001	23045000	60000	*
364	chr2L	23065001	23090000	25000	*
365	chr2L	23160001	23185000	25000	*
seqnames	start	end	width	strand
1	chr2R	545001	565000	20000	*
2	chr2R	625001	645000	20000	*
3	chr2R	960001	980000	20000	*
4	chr2R	1080001	1100000	20000	*
5	chr2R	1330001	1380000	50000	*
6	chr2R	1425001	1445000	20000	*
7	chr2R	1645001	1670000	25000	*
8	chr2R	1725001	1745000	20000	*
9	chr2R	1750001	1780000	30000	*
10	chr2R	2505001	2540000	35000	*
11	chr2R	2665001	2690000	25000	*
12	chr2R	2770001	2800000	30000	*
13	chr2R	2860001	2885000	25000	*
14	chr2R	2930001	2975000	45000	*
15	chr2R	3090001	3100000	10000	*
16	chr2R	3100001	3140000	40000	*
17	chr2R	3140001	3165000	25000	*
18	chr2R	3170001	3180000	10000	*
19	chr2R	3180001	3195000	15000	*
20	chr2R	3575001	3595000	20000	*
21	chr2R	3895001	3940000	45000	*
22	chr2R	4000001	4035000	35000	*
23	chr2R	4155001	4175000	20000	*
24	chr2R	4180001	4210000	30000	*
25	chr2R	4230001	4255000	25000	*
26	chr2R	4335001	4355000	20000	*
27	chr2R	4385001	4395000	10000	*
28	chr2R	4395001	4415000	20000	*
29	chr2R	4500001	4555000	55000	*
30	chr2R	4555001	4570000	15000	*
31	chr2R	4590001	4645000	55000	*
32	chr2R	4685001	4760000	75000	*
33	chr2R	4775001	4805000	30000	*
34	chr2R	4815001	4840000	25000	*
35	chr2R	4895001	4910000	15000	*
36	chr2R	4910001	4925000	15000	*
37	chr2R	4930001	4960000	30000	*
38	chr2R	4965001	4990000	25000	*
39	chr2R	4995001	5035000	40000	*
40	chr2R	5035001	5050000	15000	*
41	chr2R	5060001	5145000	85000	*
42	chr2R	5145001	5160000	15000	*
43	chr2R	5170001	5230000	60000	*
44	chr2R	5235001	5250000	15000	*
45	chr2R	5250001	5265000	15000	*
46	chr2R	5290001	5340000	50000	*
47	chr2R	5340001	5370000	30000	*
48	chr2R	5370001	5380000	10000	*
49	chr2R	5395001	5490000	95000	*
50	chr2R	5490001	5550000	60000	*
51	chr2R	5595001	5645000	50000	*
52	chr2R	5645001	5700000	55000	*
53	chr2R	5700001	5755000	55000	*
54	chr2R	5755001	5780000	25000	*
55	chr2R	5790001	5960000	170000	*
56	chr2R	5960001	5980000	20000	*
57	chr2R	5980001	6025000	45000	*
58	chr2R	6025001	6075000	50000	*
59	chr2R	6085001	6150000	65000	*
60	chr2R	6150001	6205000	55000	*
61	chr2R	6215001	6245000	30000	*
62	chr2R	6245001	6275000	30000	*
63	chr2R	6490001	6580000	90000	*
64	chr2R	6585001	6610000	25000	*
65	chr2R	6630001	6665000	35000	*
66	chr2R	6665001	6760000	95000	*
67	chr2R	6760001	6890000	130000	*
68	chr2R	6890001	6955000	65000	*
69	chr2R	6970001	6995000	25000	*
70	chr2R	7005001	7145000	140000	*
71	chr2R	7145001	7210000	65000	*
72	chr2R	7215001	7235000	20000	*
73	chr2R	7240001	7315000	75000	*
74	chr2R	7315001	7380000	65000	*
75	chr2R	7380001	7405000	25000	*
76	chr2R	7405001	7455000	50000	*
77	chr2R	7490001	7530000	40000	*
78	chr2R	7530001	7565000	35000	*
79	chr2R	7565001	7595000	30000	*
80	chr2R	7595001	7635000	40000	*
81	chr2R	7635001	7735000	100000	*
82	chr2R	7735001	7785000	50000	*
83	chr2R	7785001	7880000	95000	*
84	chr2R	7885001	7955000	70000	*
85	chr2R	7955001	7985000	30000	*
86	chr2R	7985001	8015000	30000	*
87	chr2R	8015001	8065000	50000	*
88	chr2R	8065001	8135000	70000	*
89	chr2R	8170001	8250000	80000	*
90	chr2R	8250001	8435000	185000	*
91	chr2R	8435001	8600000	165000	*
92	chr2R	8600001	8630000	30000	*
93	chr2R	8630001	8670000	40000	*
94	chr2R	8670001	8725000	55000	*
95	chr2R	8735001	8760000	25000	*
96	chr2R	8760001	8780000	20000	*
97	chr2R	8785001	8890000	105000	*
98	chr2R	8890001	8955000	65000	*
99	chr2R	8955001	9005000	50000	*
100	chr2R	9005001	9095000	90000	*
101	chr2R	9095001	9135000	40000	*
102	chr2R	9135001	9190000	55000	*
103	chr2R	9190001	9285000	95000	*
104	chr2R	9295001	9310000	15000	*
105	chr2R	9310001	9355000	45000	*
106	chr2R	9360001	9390000	30000	*
107	chr2R	9390001	9430000	40000	*
108	chr2R	9430001	9445000	15000	*
109	chr2R	9445001	9480000	35000	*
110	chr2R	9490001	9565000	75000	*
111	chr2R	9615001	9695000	80000	*
112	chr2R	9695001	9730000	35000	*
113	chr2R	9735001	9820000	85000	*
114	chr2R	9820001	9835000	15000	*
115	chr2R	9835001	9875000	40000	*
116	chr2R	9875001	9910000	35000	*
117	chr2R	9910001	9955000	45000	*
118	chr2R	9955001	9990000	35000	*
119	chr2R	9990001	10025000	35000	*
120	chr2R	10025001	10045000	20000	*
121	chr2R	10075001	10100000	25000	*
122	chr2R	10100001	10125000	25000	*
123	chr2R	10125001	10165000	40000	*
124	chr2R	10165001	10180000	15000	*
125	chr2R	10185001	10250000	65000	*
126	chr2R	10250001	10415000	165000	*
127	chr2R	10415001	10475000	60000	*
128	chr2R	10475001	10530000	55000	*
129	chr2R	10530001	10565000	35000	*
130	chr2R	10565001	10585000	20000	*
131	chr2R	10590001	10625000	35000	*
132	chr2R	10635001	10660000	25000	*
133	chr2R	10665001	10810000	145000	*
134	chr2R	10810001	10850000	40000	*
135	chr2R	10850001	10870000	20000	*
136	chr2R	10870001	10900000	30000	*
137	chr2R	10915001	10950000	35000	*
138	chr2R	10955001	11010000	55000	*
139	chr2R	11025001	11110000	85000	*
140	chr2R	11110001	11120000	10000	*
141	chr2R	11125001	11170000	45000	*
142	chr2R	11170001	11205000	35000	*
143	chr2R	11225001	11275000	50000	*
144	chr2R	11275001	11310000	35000	*
145	chr2R	11310001	11350000	40000	*
146	chr2R	11365001	11385000	20000	*
147	chr2R	11410001	11450000	40000	*
148	chr2R	11465001	11475000	10000	*
149	chr2R	11475001	11580000	105000	*
150	chr2R	11580001	11620000	40000	*
151	chr2R	11620001	11650000	30000	*
152	chr2R	11700001	11710000	10000	*
153	chr2R	11710001	11890000	180000	*
154	chr2R	11910001	11965000	55000	*
155	chr2R	11965001	12025000	60000	*
156	chr2R	12045001	12130000	85000	*
157	chr2R	12130001	12185000	55000	*
158	chr2R	12185001	12205000	20000	*
159	chr2R	12215001	12250000	35000	*
160	chr2R	12250001	12320000	70000	*
161	chr2R	12320001	12345000	25000	*
162	chr2R	12345001	12410000	65000	*
163	chr2R	12455001	12515000	60000	*
164	chr2R	12525001	12570000	45000	*
165	chr2R	12570001	12590000	20000	*
166	chr2R	12590001	12615000	25000	*
167	chr2R	12615001	12670000	55000	*
168	chr2R	12670001	12710000	40000	*
169	chr2R	12715001	12755000	40000	*
170	chr2R	12755001	12790000	35000	*
171	chr2R	12795001	12820000	25000	*
172	chr2R	12825001	12850000	25000	*
173	chr2R	12870001	12915000	45000	*
174	chr2R	12915001	12935000	20000	*
175	chr2R	12945001	13045000	100000	*
176	chr2R	13045001	13110000	65000	*
177	chr2R	13115001	13130000	15000	*
178	chr2R	13130001	13170000	40000	*
179	chr2R	13170001	13205000	35000	*
180	chr2R	13205001	13245000	40000	*
181	chr2R	13245001	13405000	160000	*
182	chr2R	13415001	13450000	35000	*
183	chr2R	13450001	13485000	35000	*
184	chr2R	13510001	13540000	30000	*
185	chr2R	13560001	13600000	40000	*
186	chr2R	13600001	13730000	130000	*
187	chr2R	13735001	13825000	90000	*
188	chr2R	13825001	13855000	30000	*
189	chr2R	13855001	13940000	85000	*
190	chr2R	13965001	13990000	25000	*
191	chr2R	13990001	14095000	105000	*
192	chr2R	14110001	14140000	30000	*
193	chr2R	14140001	14175000	35000	*
194	chr2R	14175001	14190000	15000	*
195	chr2R	14195001	14215000	20000	*
196	chr2R	14215001	14275000	60000	*
197	chr2R	14275001	14300000	25000	*
198	chr2R	14300001	14335000	35000	*
199	chr2R	14360001	14395000	35000	*
200	chr2R	14400001	14470000	70000	*
201	chr2R	14475001	14520000	45000	*
202	chr2R	14520001	14625000	105000	*
203	chr2R	14625001	14745000	120000	*
204	chr2R	14745001	14770000	25000	*
205	chr2R	14770001	14840000	70000	*
206	chr2R	14840001	14880000	40000	*
207	chr2R	14880001	14890000	10000	*
208	chr2R	14895001	14935000	40000	*
209	chr2R	14935001	14960000	25000	*
210	chr2R	14960001	15000000	40000	*
211	chr2R	15000001	15085000	85000	*
212	chr2R	15090001	15120000	30000	*
213	chr2R	15125001	15150000	25000	*
214	chr2R	15150001	15195000	45000	*
215	chr2R	15195001	15245000	50000	*
216	chr2R	15255001	15340000	85000	*
217	chr2R	15350001	15390000	40000	*
218	chr2R	15390001	15480000	90000	*
219	chr2R	15480001	15510000	30000	*
220	chr2R	15510001	15530000	20000	*
221	chr2R	15530001	15585000	55000	*
222	chr2R	15585001	15675000	90000	*
223	chr2R	15675001	15700000	25000	*
224	chr2R	15700001	15730000	30000	*
225	chr2R	15730001	15760000	30000	*
226	chr2R	15760001	15820000	60000	*
227	chr2R	15820001	15850000	30000	*
228	chr2R	15850001	15920000	70000	*
229	chr2R	15930001	15970000	40000	*
230	chr2R	15975001	15990000	15000	*
231	chr2R	15990001	16020000	30000	*
232	chr2R	16020001	16105000	85000	*
233	chr2R	16105001	16125000	20000	*
234	chr2R	16140001	16180000	40000	*
235	chr2R	16235001	16280000	45000	*
236	chr2R	16280001	16350000	70000	*
237	chr2R	16350001	16520000	170000	*
238	chr2R	16545001	16565000	20000	*
239	chr2R	16595001	16770000	175000	*
240	chr2R	16770001	16800000	30000	*
241	chr2R	16800001	16870000	70000	*
242	chr2R	16870001	16940000	70000	*
243	chr2R	16940001	17060000	120000	*
244	chr2R	17060001	17100000	40000	*
245	chr2R	17100001	17390000	290000	*
246	chr2R	17390001	17445000	55000	*
247	chr2R	17470001	17500000	30000	*
248	chr2R	17510001	17535000	25000	*
249	chr2R	17535001	17595000	60000	*
250	chr2R	17595001	17660000	65000	*
251	chr2R	17660001	17685000	25000	*
252	chr2R	17685001	17700000	15000	*
253	chr2R	17700001	17720000	20000	*
254	chr2R	17720001	17795000	75000	*
255	chr2R	17795001	17850000	55000	*
256	chr2R	17885001	18080000	195000	*
257	chr2R	18085001	18125000	40000	*
258	chr2R	18125001	18185000	60000	*
259	chr2R	18185001	18350000	165000	*
260	chr2R	18370001	18410000	40000	*
261	chr2R	18410001	18455000	45000	*
262	chr2R	18455001	18490000	35000	*
263	chr2R	18495001	18550000	55000	*
264	chr2R	18550001	18595000	45000	*
265	chr2R	18610001	18640000	30000	*
266	chr2R	18640001	18665000	25000	*
267	chr2R	18665001	18690000	25000	*
268	chr2R	18690001	18810000	120000	*
269	chr2R	18810001	18860000	50000	*
270	chr2R	18860001	18985000	125000	*
271	chr2R	18985001	19130000	145000	*
272	chr2R	19130001	19165000	35000	*
273	chr2R	19165001	19230000	65000	*
274	chr2R	19230001	19255000	25000	*
275	chr2R	19255001	19285000	30000	*
276	chr2R	19285001	19315000	30000	*
277	chr2R	19315001	19425000	110000	*
278	chr2R	19425001	19455000	30000	*
279	chr2R	19470001	19505000	35000	*
280	chr2R	19505001	19610000	105000	*
281	chr2R	19615001	19730000	115000	*
282	chr2R	19765001	19915000	150000	*
283	chr2R	19920001	20205000	285000	*
284	chr2R	20205001	20245000	40000	*
285	chr2R	20245001	20255000	10000	*
286	chr2R	20255001	20280000	25000	*
287	chr2R	20280001	20310000	30000	*
288	chr2R	20310001	20370000	60000	*
289	chr2R	20380001	20590000	210000	*
290	chr2R	20590001	20615000	25000	*
291	chr2R	20615001	20645000	30000	*
292	chr2R	20645001	20675000	30000	*
293	chr2R	20680001	20740000	60000	*
294	chr2R	20745001	20815000	70000	*
295	chr2R	20815001	20885000	70000	*
296	chr2R	20885001	20985000	100000	*
297	chr2R	20985001	21020000	35000	*
298	chr2R	21020001	21060000	40000	*
299	chr2R	21060001	21125000	65000	*
300	chr2R	21125001	21140000	15000	*
301	chr2R	21140001	21160000	20000	*
302	chr2R	21160001	21185000	25000	*
303	chr2R	21200001	21255000	55000	*
304	chr2R	21255001	21290000	35000	*
305	chr2R	21290001	21350000	60000	*
306	chr2R	21350001	21385000	35000	*
307	chr2R	21385001	21475000	90000	*
308	chr2R	21475001	21515000	40000	*
309	chr2R	21535001	21560000	25000	*
310	chr2R	21570001	21615000	45000	*
311	chr2R	21615001	21660000	45000	*
312	chr2R	21660001	21690000	30000	*
313	chr2R	21690001	21725000	35000	*
314	chr2R	21735001	21740000	5000	*
315	chr2R	21745001	21810000	65000	*
316	chr2R	21815001	22060000	245000	*
317	chr2R	22060001	22120000	60000	*
318	chr2R	22135001	22180000	45000	*
319	chr2R	22195001	22230000	35000	*
320	chr2R	22235001	22290000	55000	*
321	chr2R	22320001	22350000	30000	*
322	chr2R	22355001	22370000	15000	*
323	chr2R	22370001	22410000	40000	*
324	chr2R	22430001	22525000	95000	*
325	chr2R	22530001	22560000	30000	*
326	chr2R	22570001	22580000	10000	*
327	chr2R	22585001	22595000	10000	*
328	chr2R	22595001	22645000	50000	*
329	chr2R	22645001	22675000	30000	*
330	chr2R	22675001	22700000	25000	*
331	chr2R	22700001	22725000	25000	*
332	chr2R	22745001	22885000	140000	*
333	chr2R	22885001	22945000	60000	*
334	chr2R	22945001	22960000	15000	*
335	chr2R	22965001	23000000	35000	*
